Task;Grounder;KGE;Rule_Miner;EmbedSize;WeightLoss_Task;Reasoner_depth;Model_name;Time;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3
nations;known;complex;ncrl;100;0.5;1;dcr;[453.53305716514586, 5.796352188707149];[0.3876, 0.0002];[0.0134, 0.0002];[0.0134, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.7565, 0.0061];[0.3823, 0.0061];[0.3823, 0.0061];[0.6943, 0.0086];[0.5851, 0.0141];[0.7358, 0.0131];[0.6943, 0.0086];[0.5851, 0.0141];[0.7358, 0.0131]
nations;known;complex;amie;100;0.5;1;dcr;[435.90226526260375, 28.15058974033365];[0.3732, 0.0002];[0.0134, 0.0002];[0.0134, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.7419, 0.0059];[0.3821, 0.0059];[0.3821, 0.0059];[0.6947, 0.0079];[0.5856, 0.0141];[0.7348, 0.0136];[0.6947, 0.0079];[0.5856, 0.0141];[0.7348, 0.0136]
nations;known;complex;None;100;0.5;1;dcr;[287.0915802955627, 21.234951429396137];[0.2113, 0.0002];[0.0134, 0.0002];[0.0134, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5802, 0.0061];[0.3823, 0.0061];[0.3823, 0.0061];[0.6943, 0.0086];[0.5851, 0.0141];[0.7358, 0.0131];[0.6943, 0.0086];[0.5851, 0.0141];[0.7358, 0.0131]
nations;known;complex;ncrl;100;0.5;1;r2n;[262.7601886749268, 13.448521587231811];[0.0147, 0.0001];[0.0134, 0.0001];[0.0159, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3748, 0.0064];[0.3822, 0.0061];[0.3675, 0.0068];[0.6941, 0.0086];[0.5846, 0.0137];[0.7353, 0.0135];[0.6947, 0.0094];[0.5861, 0.0139];[0.7358, 0.0188]
nations;known;complex;amie;100;0.5;1;r2n;[252.1288357257843, 25.25517964259268];[0.0147, 0.0001];[0.0135, 0.0002];[0.0159, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3748, 0.0063];[0.3821, 0.0061];[0.3675, 0.0067];[0.6942, 0.0089];[0.5851, 0.0148];[0.7353, 0.0115];[0.6952, 0.0091];[0.5866, 0.0144];[0.7343, 0.0152]
nations;known;complex;None;100;0.5;1;r2n;[177.6362431049347, 8.360908757593911];[0.0147, 0.0001];[0.0134, 0.0001];[0.0159, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3748, 0.0064];[0.3822, 0.0061];[0.3675, 0.0068];[0.6941, 0.0086];[0.5846, 0.0137];[0.7353, 0.0135];[0.6947, 0.0094];[0.5861, 0.0139];[0.7358, 0.0188]
nations;known;complex;ncrl;100;0.5;1;gsbr;[226.45984377861024, 2.2961634267388713];[0.0132, 0.0001];[0.0132, 0.0001];[0.0132, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3805, 0.016];[0.3805, 0.016];[0.3805, 0.016];[0.6945, 0.0107];[0.5866, 0.0142];[0.7363, 0.0134];[0.6945, 0.0107];[0.5866, 0.0142];[0.7363, 0.0134]
nations;known;complex;amie;100;0.5;1;gsbr;[221.00699634552, 2.3765201390008026];[0.0132, 0.0001];[0.0132, 0.0001];[0.0132, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3804, 0.0159];[0.3804, 0.0159];[0.3804, 0.0159];[0.6943, 0.0105];[0.5866, 0.0142];[0.7358, 0.0133];[0.6943, 0.0105];[0.5866, 0.0142];[0.7358, 0.0133]
nations;known;complex;None;100;0.5;1;gsbr;[166.14280519485473, 4.96241351118684];[0.0132, 0.0001];[0.0132, 0.0001];[0.0132, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3805, 0.016];[0.3805, 0.016];[0.3805, 0.016];[0.6945, 0.0107];[0.5866, 0.0142];[0.7363, 0.0134];[0.6945, 0.0107];[0.5866, 0.0142];[0.7363, 0.0134]
nations;known;complex;ncrl;100;0.5;1;cdcr;[746.493745470047, 19.564267848201553];[0.3874, 0.0001];[0.0132, 0.0001];[0.0132, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.7546, 0.016];[0.3805, 0.016];[0.3805, 0.016];[0.6945, 0.0107];[0.5866, 0.0142];[0.7363, 0.0134];[0.6945, 0.0107];[0.5866, 0.0142];[0.7363, 0.0134]
