"Fixed parameters such as embedding size (100), depth of reasoner(1) ",,,,,
,,,,,
EACH TABLE REPRESENTS THE RESULTS FOR DIFFERENT MODELS WITH A CERTAIN KGE. THE BEST RESULTS ARE FOR THE COMPLEX KGE,,,,,
,,,,,
 Task : ,train_S1_pKGE : ,complex, Metric: ,test_task_mrr,
 Model_name,backward,domain,domainbody,full,known
cdcr,[0.9089 0.0206],[0.9099 0.0119],[0.9117 0.0169],[0.9114 0.0099],[0.9239 0.0126]
dcr,[0.9206 0.011 ],[0.9221 0.0144],[0.917  0.0112],[0.9199 0.0116],[0.9424 0.0272]
gsbr,[0.9136 0.0201],[0.9173 0.0182],[0.9132 0.0191],[0.9095 0.0229],[0.9251 0.0246]
no_reasoner,[0.9215 0.0099],[0.9215 0.0099],[0.9215 0.0099],[0.9215 0.0099],[0.9215 0.0099]
r2n,[0.9224 0.0153],[0.9281 0.0044],[0.9247 0.0097],[0.9281 0.0044],[0.994 0.008]
rnm,[0.9317 0.0138],[0.937  0.0068],[0.9317 0.0092],[0.937  0.0068],[0.9263 0.0099]
sbr,[0.9617 0.0184],[0.9567 0.0202],[0.9611 0.0219],[0.9567 0.0202],[0.959  0.0212]
,,,,,
 Task : ,train_S1_pKGE : ,complex, Metric: ,Time,
 Model_name,backward,domain,domainbody,full,known
cdcr,[49.27873778  7.64872672],[162.17730446  12.14992962],[75.81105876  6.00098118],[126.2780396    1.95812883],[40.49801402  3.49672036]
dcr,[34.58419194  1.13196898],[76.68130002 19.63334052],[43.75810142  1.56534389],[66.45193596  2.35733276],[32.15112586  1.70554963]
gsbr,[34.07955809  4.45053897],[52.03262467  7.40285897],[33.45393739  0.67275627],[35.71489897  1.85706408],[32.42529001  2.92634841]
no_reasoner,[28.28896871  1.6313267 ],[46.69443488 26.81145611],[27.32887549  2.15821023],[28.11202731  3.6298038 ],[29.60445523  1.495649  ]
r2n,[34.980058    1.11507199],[81.47619143 22.44152463],[45.89434729  1.07222476],[71.8375699   3.15202358],[30.62341657  2.21531574]
rnm,[30.7567977   3.36230101],[62.96985612 31.43246617],[30.90568504  0.96381608],[41.31098223  2.01212924],[26.38765039  1.79894383]
sbr,[29.93502879  1.96320976],[53.59753671 16.86068879],[32.89035144  2.20043398],[41.80524611  3.78539534],[35.50850348  4.98791605]
,,,,,
 Task : ,train_S2_pKGE : ,complex, Metric: ,test_task_mrr,
 Model_name,backward,domainbody,known,,
cdcr,[0.9233 0.0222],[0.9195 0.0133],[0.9178 0.0172],,
dcr,[0.9198 0.0275],[0.898  0.0214],[0.9151 0.0152],,
gsbr,[0.9213 0.0324],[0.9069 0.0246],[0.9198 0.0172],,
no_reasoner,[0.9268 0.0257],[0.9111 0.0274],[0.9268 0.0257],,
r2n,[0.8835 0.0388],[0.9107 0.0268],[0.9108 0.0077],,
rnm,[0.9193 0.0341],[0.9033 0.0273],[0.9198 0.0172],,
sbr,[0.919  0.0243],[0.9339 0.0128],[0.9198 0.0159],,
,,,,,
 Task : ,train_S2_pKGE : ,complex, Metric: ,Time,
 Model_name,backward,domainbody,known,,
cdcr,[1058.65309019   26.81205546],[2642.52777662  111.1613867 ],[19.37487874  1.95290123],,
dcr,[509.97752857   4.71579472],[1353.19691153   18.50974006],[18.23174543  1.97200475],,
gsbr,[142.82749691   0.86930655],[335.98880453   1.16242542],[14.44137144  1.77299654],,
no_reasoner,[15.71175098  0.39893696],[15.89571762  0.38650479],[15.89637971  1.92240133],,
r2n,[612.81525517   6.19163514],[1622.31168976   12.68988016],[15.23123946  1.82134357],,
rnm,[85.56486168  0.50550067],[178.78744187   2.81217074],[15.13539033  2.19369754],,
sbr,[84.87627592  0.57919791],[178.6691329    0.90035519],[13.97491803  1.68853781],,
,,,,,
 Task : ,train_S3_pKGE : ,complex, Metric: ,test_task_mrr,
 Model_name,backward,domain,known,,
cdcr,[0.7773 0.0648],,[0.8381 0.0452],,
dcr,[0.8286 0.0045],,[0.8407 0.027 ],,
gsbr,[0.828  0.0132],,[0.8402 0.0245],,
no_reasoner,[0.8349 0.0182],[0.8349 0.0182],[0.8349 0.0182],,
r2n,[0.8141 0.0139],,[0.8254 0.0241],,
rnm,[0.8299 0.0155],,[0.8461 0.0222],,
sbr,[0.7303 0.0216],,[0.8803 0.0459],,
,,,,,
 Task : ,train_S3_pKGE : ,complex, Metric: ,Time,
 Model_name,backward,domain,known,,
cdcr,[1905.11912441    9.60478701],,[40.47051067  4.9610007 ],,
dcr,[845.52427559  12.83403329],,[32.17118006  4.05602272],,
gsbr,[297.32432051   1.30322693],,[23.45165095  3.86986842],,
no_reasoner,[19.71870522  0.81934013],[20.74283166  5.70229106],[21.02707009  3.86628898],,
r2n,[1248.33801069    6.85858792],,[27.15979676  4.11459626],,
rnm,[196.78488102   2.13126722],,[24.30575228  4.4055005 ],,
sbr,[194.12555017   3.45574215],,[23.66128168  4.16642425],,
,,,,,
 Task : ,train_S3_pKGE : ,distmult, Metric: ,Time,
 Model_name,backward,known,,,
cdcr,[1898.5508884    13.53745688],[36.28168578  5.88208994],,,
dcr,[824.73223519   5.83171913],[28.24537182  4.44627966],,,
gsbr,[283.04977546   2.1547838 ],[20.97805943  4.61716595],,,
no_reasoner,[17.75849404  1.35813509],[17.27919188  4.16953991],,,
r2n,[1237.03862762    5.86261015],[25.42688928  5.25211222],,,
rnm,[184.42397132   2.74559465],[20.19231696  4.4485664 ],,,
sbr,[180.43310504   2.1434927 ],[19.74363217  4.35330174],,,
,,,,,
 Task : ,train_S3_pKGE : ,transe, Metric: ,Time,
 Model_name,backward,known,,,
cdcr,[1887.89944277   11.10253007],[37.66969271  6.53427233],,,
dcr,[816.5786634    6.63477545],[29.33342781  4.9112715 ],,,
gsbr,[286.72412524   4.12432596],[21.91742907  4.91158765],,,
no_reasoner,[18.04714313  2.51501959],[18.33491821  4.82221503],,,
r2n,[1226.17216735   11.6961395 ],[24.551477    5.12168834],,,
rnm,[187.46604929   5.65411884],[21.06819396  5.00682009],,,
sbr,[187.02018118   2.01217572],[20.51844969  4.77576137],,,
