sep=;
0;0.34180790185928345;1.0;0.6931506395339966;0.6137790083885193;0.6931506395339966;0.34180790185928345;1.0;0.6931506395339966;0.6137790083885193;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;0.7740113139152527;1.0;0.6924824118614197;0.8774325251579285;0.6924824118614197;0.7740113139152527;1.0;0.6924824118614197;0.8774325251579285;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;0.9538606405258179;1.0;0.6916066408157349;0.9761456847190857;0.6916066408157349;0.9538606405258179;1.0;0.6916066408157349;0.9761456847190857;0.6100000143051147;0.6899999976158142;0.34960755705833435;0.6720655560493469;0.34960755705833435;0.6100000143051147;0.6899999976158142;0.34960755705833435;0.6720655560493469
3;0.991525411605835;1.0;0.6903923749923706;0.995448887348175;0.6903923749923706;0.991525411605835;1.0;0.6903923749923706;0.995448887348175;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;0.9962335228919983;1.0;0.6886898875236511;0.9981167316436768;0.6886898875236511;0.9962335228919983;1.0;0.6886898875236511;0.9981167316436768;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;1.0;0.6863398551940918;1.0;0.6863398551940918;1.0;1.0;0.6863398551940918;1.0;0.7699999809265137;0.800000011920929;0.34854578971862793;0.7934306263923645;0.34854578971862793;0.7699999809265137;0.800000011920929;0.34854578971862793;0.7934306263923645
6;1.0;1.0;0.6831731796264648;1.0;0.6831731796264648;1.0;1.0;0.6831731796264648;1.0;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;1.0;0.6790118217468262;1.0;0.6790118217468262;1.0;1.0;0.6790118217468262;1.0;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;1.0;0.6736683249473572;1.0;0.6736683249473572;1.0;1.0;0.6736683249473572;1.0;0.800000011920929;0.800000011920929;0.34616363048553467;0.8133787512779236;0.34616363048553467;0.800000011920929;0.800000011920929;0.34616363048553467;0.8133787512779236
9;1.0;1.0;0.6669472455978394;1.0;0.6669472455978394;1.0;1.0;0.6669472455978394;1.0;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;1.0;1.0;0.6586458683013916;1.0;0.6586458683013916;1.0;1.0;0.6586458683013916;1.0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;1.0;1.0;0.6485580801963806;1.0;0.6485580801963806;1.0;1.0;0.6485580801963806;1.0;0.800000011920929;0.8199999928474426;0.3417867422103882;0.8196688890457153;0.3417867422103882;0.800000011920929;0.8199999928474426;0.3417867422103882;0.8196688890457153
12;1.0;1.0;0.6364790797233582;1.0;0.6364790797233582;1.0;1.0;0.6364790797233582;1.0;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;1.0;1.0;0.622212827205658;1.0;0.622212827205658;1.0;1.0;0.622212827205658;1.0;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;1.0;1.0;0.6055811643600464;1.0;0.6055811643600464;1.0;1.0;0.6055811643600464;1.0;0.7900000214576721;0.8199999928474426;0.3348320424556732;0.8136768341064453;0.3348320424556732;0.7900000214576721;0.8199999928474426;0.3348320424556732;0.8136768341064453
15;1.0;1.0;0.5864357352256775;1.0;0.5864357352256775;1.0;1.0;0.5864357352256775;1.0;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;1.0;1.0;0.5646719336509705;1.0;0.5646719336509705;1.0;1.0;0.5646719336509705;1.0;NA;NA;NA;NA;NA;NA;NA;NA;NA
17;1.0;1.0;0.5402443408966064;1.0;0.5402443408966064;1.0;1.0;0.5402443408966064;1.0;0.800000011920929;0.8199999928474426;0.32519254088401794;0.8189343810081482;0.32519254088401794;0.800000011920929;0.8199999928474426;0.32519254088401794;0.8189343810081482
18;1.0;1.0;0.5131849646568298;1.0;0.5131849646568298;1.0;1.0;0.5131849646568298;1.0;NA;NA;NA;NA;NA;NA;NA;NA;NA
19;1.0;1.0;0.48361918330192566;1.0;0.48361918330192566;1.0;1.0;0.48361918330192566;1.0;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;1.0;1.0;0.45178160071372986;1.0;0.45178160071372986;1.0;1.0;0.45178160071372986;1.0;0.800000011920929;0.8100000023841858;0.3138789236545563;0.816284716129303;0.3138789236545563;0.800000011920929;0.8100000023841858;0.3138789236545563;0.816284716129303
21;1.0;1.0;0.41802525520324707;1.0;0.41802525520324707;1.0;1.0;0.41802525520324707;1.0;NA;NA;NA;NA;NA;NA;NA;NA;NA
