Task;Grounder;KGE;EmbedSize;WeightLoss_Task;Reasoner_depth;Model_name;Time;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_concept_hits@5@5;train_concept_hits@10@10;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;train_task_hits@5@5;train_task_hits@10@10;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_hits@10@10;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_hits@10@10;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_concept_hits@5@5;test_concept_hits@10@10;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3;test_task_hits@5@5;test_task_hits@10@10
train_S1_p;backward;distmult;10;0.5;1;no_reasoner;[23.918242120742796, 1.0843259220351427];[2.6586, 0.0051];[0.1756, 0.0103];[5.1416, 0.0];[0.9923, 0.0012];[0.9847, 0.0023];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6048, 0.0055];[0.3328, 0.0124];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9086, 0.0045];[0.4149, 0.009];[1.4023, 0.0];[0.8141, 0.0276];[0.708, 0.0366];[0.908, 0.0349];[0.97, 0.019];[1.0, 0.0];[0.6407, 0.0136];[0.548, 0.0194];[0.648, 0.016];[0.72, 0.0303];[0.948, 0.0194];[1.7339, 0.035];[0.3829, 0.0699];[3.085, 0.0];[0.8764, 0.0367];[0.792, 0.0574];[0.98, 0.0179];[1.0, 0.0];[1.0, 0.0];[0.7321, 0.0418];[0.592, 0.05];[0.784, 0.0496];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;distmult;10;0.5;1;dcr;[26.435231256484986, 0.950970529276077];[0.1908, 0.0087];[0.1807, 0.0101];[0.1912, 0.0079];[0.9908, 0.0013];[0.982, 0.0028];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9904, 0.0015];[0.9811, 0.0031];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4356, 0.0121];[0.4227, 0.0131];[0.4387, 0.012];[0.8069, 0.0225];[0.702, 0.0248];[0.896, 0.0432];[0.966, 0.0206];[1.0, 0.0];[0.8062, 0.0236];[0.702, 0.0248];[0.898, 0.044];[0.958, 0.0306];[0.998, 0.004];[0.3969, 0.0621];[0.3806, 0.0637];[0.4033, 0.0607];[0.8776, 0.0431];[0.796, 0.0731];[0.968, 0.016];[1.0, 0.0];[1.0, 0.0];[0.8772, 0.0437];[0.796, 0.0731];[0.968, 0.016];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;distmult;10;0.5;1;r2n;[26.684090089797973, 2.853771069208043];[0.1702, 0.0118];[0.1837, 0.0114];[0.1567, 0.0124];[0.9894, 0.0026];[0.9796, 0.0046];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9956, 0.0012];[0.9914, 0.0023];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4638, 0.049];[0.4009, 0.0442];[0.5268, 0.0555];[0.7919, 0.0338];[0.686, 0.0361];[0.874, 0.0484];[0.948, 0.0271];[1.0, 0.0];[0.8336, 0.0196];[0.744, 0.0233];[0.91, 0.0352];[0.968, 0.0147];[1.0, 0.0];[0.4782, 0.0843];[0.3915, 0.0664];[0.5649, 0.1058];[0.8628, 0.0323];[0.768, 0.0515];[0.956, 0.0196];[1.0, 0.0];[1.0, 0.0];[0.8721, 0.0267];[0.788, 0.0431];[0.956, 0.0196];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;distmult;10;0.5;1;sbr;[22.45374550819397, 1.1358777416977222];[0.1901, 0.0118];[0.1804, 0.0137];[0.1999, 0.0115];[0.9841, 0.0044];[0.9695, 0.0083];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9824, 0.0036];[0.9663, 0.0066];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3506, 0.0277];[0.3349, 0.0276];[0.3663, 0.0295];[0.8041, 0.0269];[0.696, 0.0307];[0.898, 0.0417];[0.964, 0.0162];[1.0, 0.0];[0.8002, 0.0278];[0.694, 0.0338];[0.894, 0.0372];[0.956, 0.0174];[1.0, 0.0];[0.3578, 0.0389];[0.3359, 0.0446];[0.3797, 0.0337];[0.8653, 0.0228];[0.768, 0.0349];[0.98, 0.0219];[1.0, 0.0];[1.0, 0.0];[0.8646, 0.0286];[0.768, 0.0466];[0.98, 0.0179];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;distmult;10;0.5;1;rnm;[19.783208560943603, 1.955927377313186];[0.1786, 0.011];[0.1751, 0.0111];[0.1822, 0.011];[0.9913, 0.0015];[0.9831, 0.0028];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9914, 0.0014];[0.9832, 0.0028];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4066, 0.0158];[0.4024, 0.016];[0.4109, 0.0155];[0.822, 0.0137];[0.726, 0.0102];[0.906, 0.0332];[0.978, 0.0117];[1.0, 0.0];[0.8219, 0.0136];[0.726, 0.0102];[0.906, 0.0332];[0.976, 0.0102];[1.0, 0.0];[0.3674, 0.0623];[0.3603, 0.0631];[0.3745, 0.0614];[0.8808, 0.0417];[0.796, 0.0686];[0.972, 0.0204];[1.0, 0.0];[1.0, 0.0];[0.8808, 0.0417];[0.796, 0.0686];[0.972, 0.0204];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;distmult;10;0.5;3;no_reasoner;[18.552774477005006, 0.4909231794916684];[2.6586, 0.0051];[0.1756, 0.0103];[5.1416, 0.0];[0.9923, 0.0012];[0.9847, 0.0023];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6048, 0.0055];[0.3328, 0.0124];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9086, 0.0045];[0.4149, 0.009];[1.4023, 0.0];[0.8141, 0.0276];[0.708, 0.0366];[0.908, 0.0349];[0.97, 0.019];[1.0, 0.0];[0.6407, 0.0136];[0.548, 0.0194];[0.648, 0.016];[0.72, 0.0303];[0.948, 0.0194];[1.7339, 0.035];[0.3829, 0.0699];[3.085, 0.0];[0.8764, 0.0367];[0.792, 0.0574];[0.98, 0.0179];[1.0, 0.0];[1.0, 0.0];[0.7321, 0.0418];[0.592, 0.05];[0.784, 0.0496];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;distmult;10;0.5;3;dcr;[28.59262900352478, 0.6904877487461123];[0.1906, 0.0102];[0.1808, 0.0103];[0.1779, 0.01];[0.9913, 0.0008];[0.9829, 0.0015];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9925, 0.001];[0.9854, 0.0017];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4566, 0.0202];[0.4155, 0.0159];[0.4752, 0.0246];[0.8015, 0.0205];[0.696, 0.0242];[0.876, 0.0301];[0.97, 0.0141];[1.0, 0.0];[0.8047, 0.0213];[0.698, 0.0214];[0.882, 0.0366];[0.968, 0.0194];[1.0, 0.0];[0.4583, 0.0896];[0.3832, 0.0649];[0.511, 0.1147];[0.8738, 0.0413];[0.784, 0.0674];[0.968, 0.0204];[1.0, 0.0];[1.0, 0.0];[0.8781, 0.0463];[0.792, 0.0755];[0.964, 0.0294];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;distmult;10;0.5;3;r2n;[23.311221027374266, 0.32620882867562945];[0.1762, 0.0057];[0.1848, 0.0064];[0.1676, 0.0067];[0.9881, 0.0022];[0.9768, 0.0043];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.993, 0.0011];[0.9863, 0.0021];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4073, 0.018];[0.407, 0.0152];[0.4076, 0.0223];[0.8032, 0.0319];[0.704, 0.0413];[0.87, 0.051];[0.964, 0.0215];[1.0, 0.0];[0.8461, 0.0168];[0.77, 0.0179];[0.902, 0.0417];[0.97, 0.0179];[1.0, 0.0];[0.36, 0.0766];[0.3626, 0.0754];[0.3573, 0.0783];[0.8868, 0.0375];[0.808, 0.0574];[0.972, 0.0204];[1.0, 0.0];[1.0, 0.0];[0.8935, 0.0423];[0.82, 0.0681];[0.972, 0.0204];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;distmult;10;0.5;3;sbr;[19.05265326499939, 0.5783142600842991];[0.1742, 0.0103];[0.1742, 0.0103];[0.1742, 0.0103];[0.992, 0.0017];[0.9845, 0.0032];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.992, 0.0017];[0.9845, 0.0032];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4137, 0.0097];[0.4137, 0.0097];[0.4137, 0.0097];[0.8172, 0.012];[0.718, 0.0133];[0.898, 0.0366];[0.978, 0.0147];[1.0, 0.0];[0.8172, 0.012];[0.718, 0.0133];[0.898, 0.0366];[0.978, 0.0147];[1.0, 0.0];[0.3719, 0.0608];[0.3719, 0.0608];[0.3719, 0.0608];[0.8761, 0.0339];[0.788, 0.0574];[0.972, 0.016];[1.0, 0.0];[1.0, 0.0];[0.8761, 0.0339];[0.788, 0.0574];[0.972, 0.016];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;distmult;10;0.5;3;rnm;[19.20974545478821, 0.6262255543519826];[0.1742, 0.0103];[0.1742, 0.0103];[0.1742, 0.0103];[0.992, 0.0017];[0.9845, 0.0032];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.992, 0.0017];[0.9845, 0.0032];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4137, 0.0097];[0.4137, 0.0097];[0.4137, 0.0097];[0.8172, 0.012];[0.718, 0.0133];[0.898, 0.0366];[0.978, 0.0147];[1.0, 0.0];[0.8172, 0.012];[0.718, 0.0133];[0.898, 0.0366];[0.978, 0.0147];[1.0, 0.0];[0.3719, 0.0608];[0.3719, 0.0608];[0.3719, 0.0608];[0.8761, 0.0339];[0.788, 0.0574];[0.972, 0.016];[1.0, 0.0];[1.0, 0.0];[0.8761, 0.0339];[0.788, 0.0574];[0.972, 0.016];[1.0, 0.0];[1.0, 0.0]
