?b  P  ?a   => ?a  X  ?b        0,603524229     0,10506135      0,114644351     137     1304    1195    -2
?b  U  ?a   => ?a  X  ?b        0,246696035     0,119148936     0,130536131     56      470     429     -2
?b  D  ?a   => ?a  X  ?b        0,136563877     0,17816092      0,190184049     31      174     163     -2
?b  Te  ?a   => ?a  X  ?b       0,31277533      0,162844037     0,175742574     71      436     404     -2
?a  ML  ?b   => ?a  X  ?b       0,678414097     0,105624143     0,116314199     154     1458    1324    -2
?b  Q  ?a   => ?a  GG  ?b       0,49    0,09141791      0,138028169     98      1072    710     -1
?b  Rg  ?a   => ?a  GG  ?b      0,485   0,080099092     0,119901112     97      1211    809     -1
?b  E  ?a   => ?a  GG  ?b       0,385   0,0710988       0,101049869     77      1083    762     -1
?b  B  ?a   => ?a  GG  ?b       0,195   0,10483871      0,146616541     39      372     266     -1
?a  Q  ?b   => ?a  GG  ?b       0,525   0,097947761     0,147887324     105     1072    710     -1
?b  Ra  ?a   => ?a  GG  ?b      0,23    0,072213501     0,105022831     46      637     438     -1
?a  E  ?b   => ?a  GG  ?b       0,355   0,065558633     0,103649635     71      1083    685     -1
?a  Rg  ?b   => ?a  GG  ?b      0,505   0,083402147     0,12625 101     1211    800     -1
?a  B  ?b   => ?a  GG  ?b       0,19    0,102150538     0,161016949     38      372     236     -1
?b  X  ?a   => ?a  U  ?b        0,119148936     0,246696035     0,252252252     56      227     222     -1
?a  Te  ?b   => ?a  U  ?b       0,223404255     0,240825688     0,26119403      105     436     402     -1
?a  P  ?b   => ?a  U  ?b        0,559574468     0,201687117     0,213647441     263     1304    1231    -1
?b  ML  ?a   => ?a  U  ?b       0,668085106     0,215363512     0,225412778     314     1458    1393    -1
?a  I  ?b   => ?a  U  ?b        0,070212766     0,428571429     0,44    33      77      75      -1
?a  D  ?b   => ?a  U  ?b        0,125531915     0,33908046      0,33908046      59      174     174     -1
?a  Ra  ?b   => ?a  B  ?b       0,206989247     0,120879121     0,122807018     77      637     627     -1
?b  Ra  ?a   => ?a  B  ?b       0,274193548     0,160125589     0,162939297     102     637     626     -1
?b  Rg  ?a   => ?a  B  ?b       0,408602151     0,125516102     0,127516779     152     1211    1192    -1
?a  GG  ?b   => ?a  B  ?b       0,102150538     0,19    0,196891192     38      200     193     -1
?b  GG  ?a   => ?a  B  ?b       0,10483871      0,195   0,202072539     39      200     193     -1
?b  E  ?a   => ?a  B  ?b        0,35483871      0,121883657     0,125356125     132     1083    1053    -1
?b  B  ?a   => ?a  B  ?b        0,612903226     0,612903226     0,635097493     228     372     359     -1
?a  E  ?b   => ?a  B  ?b        0,333333333     0,114496768     0,114814815     124     1083    1080    -1
?a  Rg  ?b   => ?a  B  ?b       0,384408602     0,118084228     0,119765494     143     1211    1194    -1
?b  X  ?a   => ?a  D  ?b        0,17816092      0,136563877     0,174157303     31      227     178     -1
?a  U  ?b   => ?a  D  ?b        0,33908046      0,125531915     0,146401985     59      470     403     -1
?a  Te  ?b   => ?a  D  ?b       0,201149425     0,080275229     0,110062893     35      436     318     -1
?b  ML  ?a   => ?a  Te  ?b      0,626146789     0,187242798     0,203276247     273     1458    1343    -1
?b  X  ?a   => ?a  Te  ?b       0,162844037     0,31277533      0,32718894      71      227     217     -1
?a  P  ?b   => ?a  Te  ?b       0,649082569     0,21702454      0,230456026     283     1304    1228    -1
?a  I  ?b   => ?a  Te  ?b       0,03440367      0,194805195     0,211267606     15      77      71      -1
?a  D  ?b   => ?a  Te  ?b       0,080275229     0,201149425     0,22875817      35      174     153     -1
?a  U  ?b   => ?a  Te  ?b       0,240825688     0,223404255     0,234899329     105     470     447     -1
?b  B  ?a   => ?a  Ra  ?b       0,160125589     0,274193548     0,274193548     102     372     372     -1
?b  Ra  ?a   => ?a  Ra  ?b      0,662480377     0,662480377     0,662480377     422     637     637     -1
?b  E  ?a   => ?a  Ra  ?b       0,291993721     0,171745152     0,171745152     186     1083    1083    -1
?b  GG  ?a   => ?a  Ra  ?b      0,072213501     0,23    0,23    46      200     200     -1
?a  E  ?b   => ?a  Ra  ?b       0,306122449     0,180055402     0,194610778     195     1083    1002    -1
?a  Q  ?b   => ?a  Ra  ?b       0,287284144     0,170708955     0,170708955     183     1072    1072    -1
?a  B  ?b   => ?a  Ra  ?b       0,120879121     0,206989247     0,210382514     77      372     366     -1
?a  GG  ?b   => ?a  Ra  ?b      0,067503925     0,215   0,215   43      200     200     -1
?b  Rg  ?a   => ?a  Ra  ?b      0,442700157     0,2328654       0,2328654       282     1211    1211    -1
?a  Rg  ?b   => ?a  Ra  ?b      0,419152276     0,220478943     0,220478943     267     1211    1211    -1
?b  Q  ?a   => ?a  Ra  ?b       0,293563579     0,174440299     0,174440299     187     1072    1072    -1
?b  Iw  ?a   => ?a  Q  ?b       0,01119403      0,136363636     0,235294118     12      88      51      -1
?b  GG  ?a   => ?a  Q  ?b       0,09141791      0,49    0,49    98      200     200     -1
?b  B  ?a   => ?a  Q  ?b        0,095149254     0,274193548     0,274193548     102     372     372     -1
?b  E  ?a   => ?a  Q  ?b        0,293843284     0,290858726     0,290858726     315     1083    1083    -1
?b  Ra  ?a   => ?a  Q  ?b       0,174440299     0,293563579     0,293563579     187     637     637     -1
?b  Rg  ?a   => ?a  Q  ?b       0,36380597      0,322047894     0,322047894     390     1211    1211    -1
?a  Iw  ?b   => ?a  Q  ?b       0,010261194     0,125   0,229166667     11      88      48      -1
?a  GG  ?b   => ?a  Q  ?b       0,097947761     0,525   0,525   105     200     200     -1
?a  Rg  ?b   => ?a  Q  ?b       0,360074627     0,318744839     0,318744839     386     1211    1211    -1
?b  Q  ?a   => ?a  Q  ?b        0,792910448     0,792910448     0,792910448     850     1072    1072    -1
?a  B  ?b   => ?a  Q  ?b        0,093283582     0,268817204     0,273224044     100     372     366     -1
?a  E  ?b   => ?a  Q  ?b        0,282649254     0,279778393     0,30239521      303     1083    1002    -1
?a  Ra  ?b   => ?a  Q  ?b       0,170708955     0,287284144     0,287284144     183     637     637     -1
?b  Rg  ?a   => ?a  E  ?b       0,356417359     0,318744839     0,323283082     386     1211    1194    -1
?b  Ra  ?a   => ?a  E  ?b       0,171745152     0,291993721     0,296178344     186     637     628     -1
?b  GG  ?a   => ?a  E  ?b       0,0710988       0,385   0,385   77      200     200     -1
?b  Iw  ?a   => ?a  E  ?b       0,012003693     0,147727273     0,254901961     13      88      51      -1
?b  Q  ?a   => ?a  E  ?b        0,290858726     0,293843284     0,298013245     315     1072    1057    -1
?b  B  ?a   => ?a  E  ?b        0,121883657     0,35483871      0,367688022     132     372     359     -1
?a  GG  ?b   => ?a  E  ?b       0,065558633     0,355   0,367875648     71      200     193     -1
?a  Iw  ?b   => ?a  E  ?b       0,013850416     0,170454545     0,288461538     15      88      52      -1
?a  N  ?b   => ?a  E  ?b        0,011080332     0,428571429     0,428571429     12      28      28      -1
?a  Rg  ?b   => ?a  E  ?b       0,355493998     0,317919075     0,322175732     385     1211    1195    -1
?a  Q  ?b   => ?a  E  ?b        0,279778393     0,282649254     0,287749288     303     1072    1053    -1
?a  B  ?b   => ?a  E  ?b        0,114496768     0,333333333     0,333333333     124     372     372     -1
?a  Ra  ?b   => ?a  E  ?b       0,180055402     0,306122449     0,310015898     195     637     629     -1
?b  E  ?a   => ?a  E  ?b        0,686980609     0,686980609     0,704545455     744     1083    1056    -1
?b  I  ?a   => ?a  ML  ?b       0,031550069     0,597402597     0,613333333     46      77      75      -2
?b  D  ?a   => ?a  ML  ?b       0,074759945     0,626436782     0,626436782     109     174     174     -2
?a  X  ?b   => ?a  ML  ?b       0,105624143     0,678414097     0,678414097     154     227     227     -2
?b  Te  ?a   => ?a  ML  ?b      0,187242798     0,626146789     0,626146789     273     436     436     -2
?b  U  ?a   => ?a  ML  ?b       0,215363512     0,668085106     0,668085106     314     470     470     -2
?b  P  ?a   => ?a  ML  ?b       0,488340192     0,54601227      0,54601227      712     1304    1304    -2
?a  I  ?b   => ?a  P  ?b        0,026840491     0,454545455     0,466666667     35      77      75      -1
?a  D  ?b   => ?a  P  ?b        0,071319018     0,534482759     0,534482759     93      174     174     -1
?b  X  ?a   => ?a  P  ?b        0,10506135      0,603524229     0,603524229     137     227     227     -1
?a  U  ?b   => ?a  P  ?b        0,201687117     0,559574468     0,559574468     263     470     470     -1
?a  Te  ?b   => ?a  P  ?b       0,21702454      0,649082569     0,649082569     283     436     436     -1
?b  ML  ?a   => ?a  P  ?b       0,54601227      0,488340192     0,488340192     712     1458    1458    -1
?b  B  ?a   => ?a  Rg  ?b       0,125516102     0,408602151     0,408602151     152     372     372     -1
?b  E  ?a   => ?a  Rg  ?b       0,318744839     0,356417359     0,356417359     386     1083    1083    -1
?b  Q  ?a   => ?a  Rg  ?b       0,322047894     0,36380597      0,36380597      390     1072    1072    -1
?b  Iw  ?a   => ?a  Rg  ?b      0,014863749     0,204545455     0,352941176     18      88      51      -1
?b  Ra  ?a   => ?a  Rg  ?b      0,2328654       0,442700157     0,442700157     282     637     637     -1
?b  Rg  ?a   => ?a  Rg  ?b      0,778695293     0,778695293     0,778695293     943     1211    1211    -1
?b  GG  ?a   => ?a  Rg  ?b      0,080099092     0,485   0,485   97      200     200     -1
?a  Iw  ?b   => ?a  Rg  ?b      0,018992568     0,261363636     0,479166667     23      88      48      -1
?a  GG  ?b   => ?a  Rg  ?b      0,083402147     0,505   0,505   101     200     200     -1
?a  B  ?b   => ?a  Rg  ?b       0,118084228     0,384408602     0,390710383     143     372     366     -1
?a  Ra  ?b   => ?a  Rg  ?b      0,220478943     0,419152276     0,419152276     267     637     637     -1
?a  Q  ?b   => ?a  Rg  ?b       0,318744839     0,360074627     0,360074627     386     1072    1072    -1
?a  E  ?b   => ?a  Rg  ?b       0,317919075     0,355493998     0,384231537     385     1083    1002    -1
?a  ML  ?b  ?b  Te  ?a   => ?a  X  ?b   0,224669604     0,186813187     0,196911197     51      273     259     -2
?b  B  ?h  ?h  D  ?a   => ?a  X  ?b     0,488986784     0,125707814     0,136029412     111     883     816     -2
?b  I  ?a  ?b  P  ?a   => ?a  X  ?b     0,022026432     0,142857143     0,15625 5       35      32      -2
?b  D  ?a  ?a  ML  ?b   => ?a  X  ?b    0,092511013     0,19266055      0,2     21      109     105     -2
?b  I  ?a  ?b  U  ?a   => ?a  X  ?b     0,022026432     0,151515152     0,161290323     5       33      31      -2
?b  P  ?a  ?b  U  ?a   => ?a  X  ?b     0,162995595     0,140684411     0,154166667     37      263     240     -2
?a  ML  ?b  ?b  P  ?a   => ?a  X  ?b    0,405286344     0,129213483     0,140243902     92      712     656     -2
?b  B  ?h  ?h  Te  ?a   => ?a  X  ?b    0,72246696      0,102435978     0,114365411     164     1601    1434    -2
?a  ML  ?b  ?b  U  ?a   => ?a  X  ?b    0,185022026     0,133757962     0,142857143     42      314     294     -2
?b  Te  ?a  ?b  U  ?a   => ?a  X  ?b    0,092511013     0,2     0,216494845     21      105     97      -2
?h  As  ?a  ?b  D  ?h   => ?a  X  ?b    0,013215859     0,5     0,5     3       6       6       -2
?b  B  ?h  ?h  U  ?a   => ?a  X  ?b     0,704845815     0,102105935     0,112755462     160     1567    1419    -2
?b  D  ?a  ?b  U  ?a   => ?a  X  ?b     0,061674009     0,237288136     0,254545455     14      59      55      -2
?a  An  ?h  ?b  D  ?h   => ?a  X  ?b    0,074889868     0,158878505     0,168316832     17      107     101     -2
?b  D  ?a  ?b  Te  ?a   => ?a  X  ?b    0,04845815      0,314285714     0,323529412     11      35      34      -2
?b  D  ?h  ?h  Iw  ?a   => ?a  X  ?b    0,13215859      0,127659574     0,146341463     30      235     205     -2
?b  B  ?h  ?h  I  ?a   => ?a  X  ?b     0,224669604     0,125   0,134920635     51      408     378     -2
?b  D  ?h  ?a  Iw  ?h   => ?a  X  ?b    0,083700441     0,135714286     0,149606299     19      140     127     -2
?h  An  ?a  ?b  D  ?h   => ?a  X  ?b    0,0969163       0,189655172     0,2     22      116     110     -2
?h  An  ?a  ?b  U  ?h   => ?a  X  ?b    0,202643172     0,156462585     0,169117647     46      294     272     -2
?h  Iw  ?a  ?b  U  ?h   => ?a  X  ?b    0,18061674      0,097619048     0,100244499     41      420     409     -2
?h  D  ?a  ?b  Iw  ?h   => ?a  X  ?b    0,066079295     0,125   0,172413793     15      120     87      -2
?b  B  ?h  ?a  X  ?h   => ?a  X  ?b     0,581497797     0,133198789     0,146017699     132     991     904     -2
?a  An  ?h  ?b  U  ?h   => ?a  X  ?b    0,189427313     0,151408451     0,165384615     43      284     260     -2
?b  B  ?h  ?a  ML  ?h   => ?a  X  ?b    0,938325991     0,08875 0,101865136     213     2400    2091    -2
?a  As  ?h  ?b  D  ?h   => ?a  X  ?b    0,013215859     0,5     0,5     3       6       6       -2
?b  K  ?h  ?h  Sa  ?a   => ?a  X  ?b    0,101321586     0,09787234      0,109004739     23      235     211     -2
?a  As  ?h  ?b  U  ?h   => ?a  X  ?b    0,013215859     0,176470588     0,176470588     3       17      17      -2
?b  Iw  ?h  ?h  U  ?a   => ?a  X  ?b    0,158590308     0,110769231     0,151898734     36      325     237     -2
?h  As  ?a  ?b  U  ?h   => ?a  X  ?b    0,013215859     0,176470588     0,176470588     3       17      17      -2
?h  Iw  ?a  ?b  Iw  ?h   => ?a  X  ?b   0,061674009     0,078212291     0,113821138     14      179     123     -2
?b  Iw  ?h  ?a  ML  ?h   => ?a  X  ?b   0,40969163      0,100431965     0,130434783     93      926     713     -2
?b  Iw  ?h  ?a  X  ?h   => ?a  X  ?b    0,057268722     0,115044248     0,156626506     13      113     83      -2
?b  K  ?h  ?h  T  ?a   => ?a  X  ?b     0,220264317     0,091575092     0,101419878     50      546     493     -2
?a  Iw  ?h  ?b  U  ?h   => ?a  X  ?b    0,127753304     0,114624506     0,125541126     29      253     231     -2
?b  GG  ?h  ?h  U  ?a   => ?a  X  ?b    0,466960352     0,097785978     0,102912621     106     1084    1030    -2
?h  J  ?a  ?b  K  ?h   => ?a  X  ?b     0,101321586     0,104545455     0,117346939     23      220     196     -2
?h  D  ?a  ?b  GG  ?h   => ?a  X  ?b    0,242290749     0,112704918     0,119305857     55      488     461     -2
?b  GG  ?h  ?h  I  ?a   => ?a  X  ?b    0,13215859      0,116731518     0,119047619     30      257     252     -2
?b  Iw  ?h  ?h  P  ?a   => ?a  X  ?b    0,339207048     0,08603352      0,107391911     77      895     717     -2
?h  C  ?a  ?b  K  ?h   => ?a  X  ?b     0,092511013     0,127272727     0,141891892     21      165     148     -2
?b  Iw  ?h  ?h  Te  ?a   => ?a  X  ?b   0,171806167     0,114369501     0,142857143     39      341     273     -2
?b  K  ?h  ?h  Pr  ?a   => ?a  X  ?b    0,057268722     0,1015625       0,113043478     13      128     115     -2
?b  K  ?h  ?a  Mp  ?h   => ?a  X  ?b    0,022026432     0,104166667     0,11627907      5       48      43      -2
?b  GG  ?h  ?h  Te  ?a   => ?a  X  ?b   0,378854626     0,098061574     0,106435644     86      877     808     -2
?h  J  ?a  ?b  O  ?h   => ?a  X  ?b     0,013215859     0,130434783     0,130434783     3       23      23      -2
?h  J  ?a  ?b  Z  ?h   => ?a  X  ?b     0,167400881     0,123376623     0,131034483     38      308     290     -2
?h  C  ?a  ?b  Z  ?h   => ?a  X  ?b     0,092511013     0,109375        0,116022099     21      192     181     -2
?h  Sa  ?a  ?b  Z  ?h   => ?a  X  ?b    0,070484581     0,146788991     0,155339806     16      109     103     -2
