seed;model_name;dataset_name;grounder;kge;rule_miner;kge_atom_embedding_size;facts_file;train_file;valid_file;test_file;domain_file;rules_file;num_negatives;valid_negatives;test_negatives;ragged;format;engine_num_negatives;engine_num_adaptive_constants;constant_embedding_size;dropout_rate_embedder;kge_regularization;learning_rate;epochs;num_rules;loss;weight_loss;batch_size;val_batch_size;test_batch_size;cdcr_use_positional_embeddings;cdcr_num_formulas;valid_frequency;resnet;reasoner_depth;reasoner_regularization_factor;reasoner_formula_hidden_embedding_size;reasoner_dropout_rate;reasoner_atom_embedding_size;signed;temperature;aggregation_type;filter_num_heads;filter_activity_regularization;keys_signature;run_signature;seed_run_i;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3;time
[0, 1, 2, 3, 4];no_reasoner;countries_s1;backward_1;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;128;-1;64;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_1-complex-no_reasoner-None-1-100;4;[0.019, 0.005];[0.019, 0.005];[0.019, 0.005];[1.0, 0.0];[0.999, 0.0];[1.0, 0.0];[1.0, 0.0];[0.999, 0.0];[1.0, 0.0];[0.012, 0.002];[0.012, 0.002];[0.012, 0.002];[0.948, 0.007];[0.93, 0.006];[0.958, 0.013];[0.948, 0.007];[0.93, 0.006];[0.958, 0.013];[0.252, 0.049];[0.252, 0.049];[0.252, 0.049];[0.971, 0.013];[0.948, 0.02];[1.0, 0.0];[0.971, 0.013];[0.948, 0.02];[1.0, 0.0];[21.47, 0.57]
[0, 1, 2, 3, 4];no_reasoner;countries_s1;backward_1;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;128;-1;64;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_1-complex-no_reasoner-None-1-100;4;[0.019, 0.01];[0.019, 0.01];[0.019, 0.01];[1.0, 0.0];[0.999, 0.0];[1.0, 0.0];[1.0, 0.0];[0.999, 0.0];[1.0, 0.0];[0.013, 0.002];[0.013, 0.002];[0.013, 0.002];[0.948, 0.006];[0.933, 0.006];[0.954, 0.012];[0.948, 0.006];[0.933, 0.006];[0.954, 0.012];[0.299, 0.159];[0.299, 0.159];[0.299, 0.159];[0.966, 0.024];[0.942, 0.036];[0.994, 0.013];[0.966, 0.024];[0.942, 0.036];[0.994, 0.013];[21.383, 0.648]
[0, 1, 2, 3, 4];sbr;countries_s1;backward_1;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;128;-1;64;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_1-complex-sbr-None-1-100;4;[0.017, 0.011];[0.014, 0.01];[0.021, 0.011];[1.0, 0.0];[0.999, 0.001];[1.0, 0.0];[1.0, 0.0];[0.999, 0.001];[1.0, 0.0];[0.021, 0.005];[0.012, 0.002];[0.03, 0.008];[0.947, 0.01];[0.927, 0.013];[0.954, 0.014];[0.954, 0.004];[0.931, 0.011];[0.97, 0.012];[0.164, 0.068];[0.309, 0.132];[0.019, 0.008];[0.981, 0.013];[0.963, 0.025];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[25.305, 0.263]
[0, 1, 2, 3, 4];rnm;countries_s1;backward_1;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;128;-1;64;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_1-complex-rnm-None-1-100;4;[0.01, 0.01];[0.01, 0.01];[0.01, 0.01];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.011, 0.002];[0.013, 0.001];[0.009, 0.004];[0.937, 0.011];[0.918, 0.013];[0.944, 0.01];[0.958, 0.003];[0.944, 0.005];[0.974, 0.014];[0.302, 0.104];[0.425, 0.143];[0.179, 0.065];[0.959, 0.013];[0.924, 0.027];[0.992, 0.01];[0.998, 0.004];[0.996, 0.008];[1.0, 0.0];[25.42, 0.31]
[0, 1, 2, 3, 4];dcr;countries_s1;backward_1;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;128;-1;64;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_1-complex-dcr-None-1-100;4;[0.01, 0.004];[0.006, 0.002];[0.014, 0.004];[1.0, 0.0];[0.999, 0.0];[1.0, 0.0];[1.0, 0.0];[0.999, 0.0];[1.0, 0.0];[0.034, 0.001];[0.013, 0.001];[0.04, 0.004];[0.931, 0.009];[0.91, 0.013];[0.938, 0.022];[0.962, 0.007];[0.946, 0.008];[0.974, 0.014];[0.254, 0.025];[0.499, 0.051];[0.004, 0.001];[0.975, 0.005];[0.956, 0.008];[0.992, 0.01];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[30.62, 0.452]
[0, 1, 2, 3, 4];r2n;countries_s1;backward_1;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;128;-1;64;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_1-complex-r2n-None-1-100;4;[0.074, 0.109];[0.084, 0.127];[0.063, 0.09];[0.999, 0.002];[0.997, 0.004];[1.0, 0.0];[1.0, 0.0];[0.999, 0.0];[1.0, 0.0];[0.035, 0.037];[0.034, 0.036];[0.036, 0.039];[0.929, 0.028];[0.902, 0.042];[0.948, 0.015];[0.945, 0.009];[0.926, 0.014];[0.956, 0.005];[0.216, 0.124];[0.228, 0.122];[0.204, 0.131];[0.976, 0.027];[0.96, 0.051];[0.992, 0.01];[0.976, 0.027];[0.96, 0.051];[0.992, 0.01];[26.061, 0.115]
[0, 1, 2, 3, 4];no_reasoner;countries_s1;backward_2;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;128;-1;64;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_2-complex-no_reasoner-None-1-100;4;[0.018, 0.013];[0.018, 0.013];[0.018, 0.013];[1.0, 0.0];[0.999, 0.0];[1.0, 0.0];[1.0, 0.0];[0.999, 0.0];[1.0, 0.0];[0.015, 0.001];[0.015, 0.001];[0.015, 0.001];[0.948, 0.003];[0.936, 0.005];[0.95, 0.009];[0.948, 0.003];[0.936, 0.005];[0.95, 0.009];[0.345, 0.209];[0.345, 0.209];[0.345, 0.209];[0.961, 0.03];[0.936, 0.046];[0.988, 0.016];[0.961, 0.03];[0.936, 0.046];[0.988, 0.016];[21.248, 0.522]
[0, 1, 2, 3, 4];sbr;countries_s1;backward_2;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;128;-1;64;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_2-complex-sbr-None-1-100;4;[0.018, 0.013];[0.018, 0.013];[0.018, 0.013];[1.0, 0.0];[0.999, 0.0];[1.0, 0.0];[1.0, 0.0];[0.999, 0.0];[1.0, 0.0];[0.015, 0.001];[0.015, 0.001];[0.015, 0.001];[0.948, 0.003];[0.936, 0.005];[0.95, 0.009];[0.948, 0.003];[0.936, 0.005];[0.95, 0.009];[0.345, 0.209];[0.345, 0.209];[0.345, 0.209];[0.961, 0.03];[0.936, 0.046];[0.988, 0.016];[0.961, 0.03];[0.936, 0.046];[0.988, 0.016];[26.353, 0.044]
[0, 1, 2, 3, 4];rnm;countries_s1;backward_2;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;128;-1;64;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_2-complex-rnm-None-1-100;4;[0.018, 0.013];[0.018, 0.013];[0.018, 0.013];[1.0, 0.0];[0.999, 0.0];[1.0, 0.0];[1.0, 0.0];[0.999, 0.0];[1.0, 0.0];[0.015, 0.001];[0.015, 0.001];[0.015, 0.001];[0.948, 0.003];[0.936, 0.005];[0.95, 0.009];[0.948, 0.003];[0.936, 0.005];[0.95, 0.009];[0.345, 0.209];[0.345, 0.209];[0.345, 0.209];[0.961, 0.03];[0.936, 0.046];[0.988, 0.016];[0.961, 0.03];[0.936, 0.046];[0.988, 0.016];[26.873, 0.076]
[0, 1, 2, 3, 4];dcr;countries_s1;backward_2;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;128;-1;64;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_2-complex-dcr-None-1-100;4;[0.024, 0.023];[0.024, 0.023];[0.024, 0.023];[1.0, 0.0];[0.999, 0.001];[1.0, 0.0];[1.0, 0.0];[0.999, 0.001];[1.0, 0.0];[0.018, 0.007];[0.018, 0.007];[0.018, 0.007];[0.941, 0.007];[0.926, 0.01];[0.942, 0.016];[0.941, 0.007];[0.926, 0.01];[0.942, 0.016];[0.352, 0.209];[0.352, 0.209];[0.352, 0.209];[0.972, 0.022];[0.952, 0.037];[0.992, 0.01];[0.972, 0.022];[0.952, 0.037];[0.992, 0.01];[31.544, 0.137]
