sep=;
dataset_name;grounder;kge;model_name;rule_miner;seed;kge_atom_embedding_size;batch_size;val_batch_size;test_batch_size;facts_file;train_file;valid_file;test_file;domain_file;rules_file;corrupt_mode;num_negatives;valid_negatives;test_negatives;ragged;format;engine_num_negatives;engine_num_adaptive_constants;constant_embedding_size;predicate_embedding_size;dropout_rate_embedder;kge_regularization;learning_rate;epochs;num_rules;loss;weight_loss;cdcr_use_positional_embeddings;cdcr_num_formulas;valid_frequency;resnet;reasoner_depth;reasoner_regularization_factor;reasoner_formula_hidden_embedding_size;reasoner_dropout_rate;kge_dropout_rate;reasoner_atom_embedding_size;signed;temperature;aggregation_type;filter_num_heads;filter_activity_regularization;kge_checkpoint_load;keys_signature;run_signature;seed_run_i;time_ground_train;time_ground_valid;time_train;time_ground_test;time_inference;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_concept_hits@10@10;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;train_task_hits@10@10;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@10@10;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@10@10;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_concept_hits@10@10;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3;test_task_hits@10@10;time_ground_train;time_ground_valid;time_train;time_ground_test;time_inference
countries_s1;backward_unknown2_1;complex;dcr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown2_1-complex-dcr-None-1-100;4;0.05;0.05;21.62;0.01;0.19;[0.21, 0.251];[0.187, 0.244];[0.19, 0.241];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.36, 0.034];[0.327, 0.034];[0.346, 0.042];[0.884, 0.031];[0.854, 0.033];[0.9, 0.032];[0.934, 0.037];[0.911, 0.017];[0.862, 0.022];[0.95, 0.017];[0.998, 0.004];[0.297, 0.074];[0.285, 0.064];[0.264, 0.074];[0.938, 0.033];[0.896, 0.054];[0.98, 0.022];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.04, 0.009];[0.042, 0.004];[14.508, 3.632];[0.01, 0.0];[0.104, 0.043]
countries_s1;backward_unknown2_1;complex;sbr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown2_1-complex-sbr-None-1-100;4;0.11;0.51;22.7;0.01;0.19;[0.02, 0.036];[0.02, 0.037];[0.021, 0.035];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.413, 0.058];[0.391, 0.051];[0.434, 0.065];[0.894, 0.009];[0.864, 0.014];[0.91, 0.02];[0.954, 0.017];[0.906, 0.011];[0.852, 0.016];[0.956, 0.016];[0.998, 0.004];[0.257, 0.011];[0.274, 0.013];[0.24, 0.016];[0.951, 0.012];[0.916, 0.023];[0.992, 0.01];[1.0, 0.0];[0.998, 0.004];[0.996, 0.008];[1.0, 0.0];[1.0, 0.0];[0.096, 0.008];[0.186, 0.162];[23.15, 0.65];[0.01, 0.0];[0.19, 0.006]
countries_s1;backward_unknown2_1;complex;r2n;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown2_1-complex-r2n-None-1-100;4;0.09;0.1;24.58;0.01;0.18;[0.27, 0.174];[0.293, 0.183];[0.246, 0.166];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.32, 0.02];[0.277, 0.032];[0.364, 0.023];[0.845, 0.021];[0.802, 0.032];[0.866, 0.028];[0.926, 0.02];[0.901, 0.01];[0.846, 0.019];[0.942, 0.007];[1.0, 0.0];[0.259, 0.036];[0.308, 0.045];[0.211, 0.027];[0.939, 0.017];[0.9, 0.025];[0.992, 0.01];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.092, 0.01];[0.11, 0.006];[24.668, 0.394];[0.012, 0.004];[0.184, 0.005]
countries_s2;backward_unknown2_1;complex;dcr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_unknown2_1-complex-dcr-None-1-100;4;19.43;24.15;158.49;3.65;3.84;[0.071, 0.097];[0.05, 0.086];[0.048, 0.084];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.403, 0.031];[0.381, 0.042];[0.38, 0.043];[0.792, 0.027];[0.762, 0.035];[0.798, 0.025];[0.842, 0.007];[0.81, 0.009];[0.788, 0.012];[0.81, 0.011];[0.842, 0.007];[0.329, 0.013];[0.308, 0.015];[0.304, 0.018];[0.928, 0.012];[0.876, 0.02];[0.976, 0.023];[1.0, 0.0];[0.93, 0.013];[0.88, 0.018];[0.976, 0.023];[1.0, 0.0];[18.228, 1.188];[24.0, 0.257];[159.744, 3.598];[3.782, 0.177];[3.974, 0.177]
countries_s2;backward_unknown2_1;complex;sbr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_unknown2_1-complex-sbr-None-1-100;4;18.72;24.77;85.96;3.74;3.95;[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.437, 0.041];[0.437, 0.041];[0.437, 0.041];[0.811, 0.01];[0.784, 0.022];[0.82, 0.011];[0.862, 0.02];[0.821, 0.006];[0.8, 0.006];[0.82, 0.011];[0.862, 0.02];[0.344, 0.046];[0.345, 0.046];[0.344, 0.046];[0.944, 0.015];[0.908, 0.02];[0.976, 0.02];[1.0, 0.0];[0.944, 0.015];[0.908, 0.02];[0.976, 0.02];[1.0, 0.0];[19.256, 0.562];[25.12, 0.505];[86.646, 1.064];[3.724, 0.091];[3.926, 0.092]
countries_s1;backward_unknown2_1;complex;no_reasoner;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown2_1-complex-no_reasoner-None-1-100;4;[0.002, 0.003];[0.002, 0.003];[0.002, 0.003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.415, 0.042];[0.415, 0.042];[0.415, 0.042];[0.906, 0.01];[0.882, 0.012];[0.918, 0.01];[0.952, 0.016];[0.906, 0.01];[0.882, 0.012];[0.918, 0.01];[0.952, 0.016];[0.319, 0.048];[0.319, 0.048];[0.319, 0.048];[0.94, 0.016];[0.896, 0.027];[0.992, 0.01];[1.0, 0.0];[0.94, 0.016];[0.896, 0.027];[0.992, 0.01];[1.0, 0.0];[0.19, 0.22];[0.086, 0.008];[17.566, 0.145];[0.008, 0.004];[0.188, 0.004]
countries_s1;backward_unknown2_2;complex;dcr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown2_2-complex-dcr-None-1-100;4;[0.312, 0.306];[0.287, 0.298];[0.289, 0.296];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.999, 0.0];[1.0, 0.0];[1.0, 0.0];[0.36, 0.021];[0.327, 0.021];[0.341, 0.023];[0.857, 0.044];[0.822, 0.047];[0.876, 0.039];[0.924, 0.042];[0.913, 0.026];[0.878, 0.037];[0.94, 0.033];[0.988, 0.012];[0.328, 0.093];[0.312, 0.078];[0.294, 0.09];[0.915, 0.032];[0.848, 0.056];[0.988, 0.016];[1.0, 0.0];[0.998, 0.004];[0.996, 0.008];[1.0, 0.0];[1.0, 0.0];[0.298, 0.236];[0.192, 0.013];[24.0, 0.938];[0.03, 0.0];[0.224, 0.005]
countries_s1;backward_unknown2_2;complex;sbr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown2_2-complex-sbr-None-1-100;4;[0.216, 0.268];[0.216, 0.27];[0.216, 0.268];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.364, 0.042];[0.352, 0.034];[0.377, 0.051];[0.864, 0.032];[0.83, 0.036];[0.878, 0.037];[0.924, 0.033];[0.913, 0.017];[0.862, 0.024];[0.95, 0.023];[0.988, 0.01];[0.295, 0.067];[0.308, 0.063];[0.282, 0.072];[0.922, 0.023];[0.864, 0.043];[0.984, 0.008];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.17, 0.02];[0.376, 0.362];[19.128, 0.349];[0.032, 0.004];[0.226, 0.012]
countries_s1;backward_unknown2_2;complex;r2n;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown2_2-complex-r2n-None-1-100;4;[0.293, 0.204];[0.313, 0.207];[0.272, 0.202];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.323, 0.023];[0.279, 0.037];[0.366, 0.025];[0.825, 0.017];[0.78, 0.021];[0.852, 0.029];[0.908, 0.029];[0.886, 0.01];[0.822, 0.013];[0.938, 0.015];[0.998, 0.004];[0.265, 0.046];[0.316, 0.055];[0.214, 0.037];[0.896, 0.019];[0.82, 0.022];[0.976, 0.02];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.402, 0.444];[0.2, 0.018];[20.22, 0.507];[0.032, 0.004];[0.226, 0.005]
countries_s1;backward_unknown2_2;complex;no_reasoner;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown2_2-complex-no_reasoner-None-1-100;4;[0.002, 0.003];[0.002, 0.003];[0.002, 0.003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.415, 0.042];[0.415, 0.042];[0.415, 0.042];[0.906, 0.01];[0.882, 0.012];[0.918, 0.01];[0.952, 0.016];[0.906, 0.01];[0.882, 0.012];[0.918, 0.01];[0.952, 0.016];[0.319, 0.048];[0.319, 0.048];[0.319, 0.048];[0.94, 0.016];[0.896, 0.027];[0.992, 0.01];[1.0, 0.0];[0.94, 0.016];[0.896, 0.027];[0.992, 0.01];[1.0, 0.0];[0.082, 0.004];[0.09, 0.0];[17.614, 0.488];[0.004, 0.005];[0.184, 0.012]
countries_s1;backward_unknown2_3;complex;dcr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;TAIL;1;100;None;True;functional;0;0;200;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;5;True;1;0.0;100;0.0;0.0;100;True;0.0;max;3;0.0;None;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_unknown2_3-complex-dcr-None-1-100;4;[0.312, 0.306];[0.287, 0.298];[0.289, 0.296];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.999, 0.0];[1.0, 0.0];[1.0, 0.0];[0.36, 0.021];[0.327, 0.021];[0.341, 0.023];[0.857, 0.044];[0.822, 0.047];[0.876, 0.039];[0.924, 0.042];[0.913, 0.026];[0.878, 0.037];[0.94, 0.033];[0.988, 0.012];[0.328, 0.093];[0.312, 0.078];[0.294, 0.09];[0.915, 0.032];[0.848, 0.056];[0.988, 0.016];[1.0, 0.0];[0.998, 0.004];[0.996, 0.008];[1.0, 0.0];[1.0, 0.0];[0.18, 0.02];[0.218, 0.017];[24.08, 0.645];[0.032, 0.004];[0.222, 0.018]
