Task;Grounder;KGE;EmbedSize;WeightLoss_Task;Reasoner_depth;Model_name;Time;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_concept_hits@5@5;train_concept_hits@10@10;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;train_task_hits@5@5;train_task_hits@10@10;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_hits@10@10;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_hits@10@10;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_concept_hits@5@5;test_concept_hits@10@10;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3;test_task_hits@5@5;test_task_hits@10@10
train_S2_p;backward;complex;100;0.5;1;no_reasoner;[15.711750984191895, 0.39893695632421616];[2.5769, 0.0001];[0.0122, 0.0002];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6053, 0.0064];[0.3311, 0.014];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.8947, 0.0157];[0.3871, 0.0314];[1.4023, 0.0];[0.8614, 0.0222];[0.79, 0.0228];[0.918, 0.0264];[0.95, 0.0276];[0.992, 0.0098];[0.6407, 0.0136];[0.548, 0.0194];[0.648, 0.016];[0.72, 0.0303];[0.948, 0.0194];[1.7305, 0.0231];[0.3761, 0.0462];[3.085, 0.0];[0.9268, 0.0257];[0.892, 0.0325];[0.952, 0.0412];[1.0, 0.0];[1.0, 0.0];[0.7321, 0.0418];[0.592, 0.05];[0.784, 0.0496];[1.0, 0.0];[1.0, 0.0]
train_S2_p;backward;complex;100;0.5;1;dcr;[509.9775285720825, 4.71579471631922];[0.0212, 0.0003];[0.0121, 0.0003];[0.0158, 0.0006];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3938, 0.0376];[0.3881, 0.0389];[0.3849, 0.0364];[0.8806, 0.0269];[0.822, 0.0343];[0.93, 0.021];[0.95, 0.0228];[0.994, 0.008];[0.8811, 0.0268];[0.822, 0.0343];[0.93, 0.021];[0.952, 0.0214];[0.994, 0.008];[0.3842, 0.0555];[0.3864, 0.0628];[0.3674, 0.0487];[0.9193, 0.0278];[0.876, 0.0344];[0.944, 0.048];[1.0, 0.0];[1.0, 0.0];[0.9198, 0.0275];[0.876, 0.0344];[0.948, 0.0483];[1.0, 0.0];[1.0, 0.0]
train_S2_p;backward;complex;100;0.5;1;r2n;[612.8152551651001, 6.191635144319532];[0.0134, 0.0004];[0.0121, 0.0003];[0.0147, 0.0005];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4397, 0.0332];[0.3794, 0.0343];[0.5, 0.0588];[0.8752, 0.022];[0.816, 0.0258];[0.916, 0.0273];[0.946, 0.0233];[0.99, 0.0089];[0.8484, 0.0194];[0.774, 0.0307];[0.904, 0.0242];[0.946, 0.0233];[0.99, 0.0089];[0.4775, 0.0969];[0.3799, 0.0572];[0.575, 0.1543];[0.9228, 0.0158];[0.884, 0.015];[0.952, 0.024];[1.0, 0.0];[1.0, 0.0];[0.8835, 0.0388];[0.812, 0.0676];[0.944, 0.0233];[1.0, 0.0];[1.0, 0.0]
train_S2_p;backward;complex;100;0.5;1;sbr;[84.87627592086793, 0.5791979144714879];[0.0145, 0.0006];[0.0128, 0.0005];[0.0162, 0.0008];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.2927, 0.0481];[0.2781, 0.0498];[0.3072, 0.0465];[0.8867, 0.036];[0.834, 0.0467];[0.924, 0.0314];[0.952, 0.0325];[0.99, 0.0126];[0.8898, 0.0326];[0.838, 0.0407];[0.928, 0.0279];[0.954, 0.0314];[0.99, 0.0089];[0.3424, 0.0656];[0.3139, 0.0751];[0.3708, 0.0601];[0.9212, 0.0236];[0.876, 0.0265];[0.948, 0.0412];[1.0, 0.0];[1.0, 0.0];[0.919, 0.0243];[0.876, 0.032];[0.944, 0.0388];[1.0, 0.0];[1.0, 0.0]
train_S2_p;backward;complex;100;0.5;1;rnm;[85.56486167907715, 0.5055006700639811];[0.0125, 0.0003];[0.0121, 0.0003];[0.0128, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3586, 0.0447];[0.3586, 0.0457];[0.3586, 0.0438];[0.872, 0.0319];[0.81, 0.0385];[0.924, 0.0301];[0.946, 0.0338];[0.99, 0.0126];[0.8722, 0.032];[0.81, 0.0385];[0.924, 0.0301];[0.946, 0.0338];[0.988, 0.0098];[0.3565, 0.0582];[0.3605, 0.0633];[0.3526, 0.0533];[0.9193, 0.0341];[0.876, 0.0496];[0.944, 0.048];[1.0, 0.0];[1.0, 0.0];[0.9193, 0.0341];[0.876, 0.0496];[0.944, 0.048];[1.0, 0.0];[1.0, 0.0]
train_S2_p;backward;complex;100;0.5;1;gsbr;[142.82749691009522, 0.8693065530309926];[0.0122, 0.0003];[0.0121, 0.0003];[0.0123, 0.0004];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3597, 0.0391];[0.3599, 0.0392];[0.3595, 0.0389];[0.885, 0.0312];[0.832, 0.0397];[0.92, 0.0276];[0.956, 0.0258];[0.992, 0.0098];[0.885, 0.0311];[0.832, 0.0397];[0.92, 0.0276];[0.956, 0.0258];[0.992, 0.0098];[0.3535, 0.0605];[0.3534, 0.0605];[0.3536, 0.0605];[0.9213, 0.0324];[0.88, 0.0456];[0.944, 0.048];[1.0, 0.0];[1.0, 0.0];[0.9213, 0.0324];[0.88, 0.0456];[0.944, 0.048];[1.0, 0.0];[1.0, 0.0]
train_S2_p;backward;complex;100;0.5;1;cdcr;[1058.6530901908875, 26.812055460598366];[0.0212, 0.0004];[0.0124, 0.0003];[0.0156, 0.0005];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3553, 0.0447];[0.3389, 0.0504];[0.3573, 0.0397];[0.8822, 0.0324];[0.826, 0.0408];[0.922, 0.0299];[0.948, 0.0306];[0.99, 0.0126];[0.8877, 0.0286];[0.836, 0.0367];[0.926, 0.0265];[0.95, 0.0303];[0.992, 0.0075];[0.3838, 0.0427];[0.3652, 0.0475];[0.3879, 0.0408];[0.9269, 0.02];[0.888, 0.0204];[0.948, 0.0412];[1.0, 0.0];[1.0, 0.0];[0.9233, 0.0222];[0.884, 0.0233];[0.948, 0.0431];[1.0, 0.0];[1.0, 0.0]
train_S2_p;backward;distmult;100;0.5;1;no_reasoner;[13.810545349121094, 0.5950102168614639];[2.577, 0.0003];[0.0124, 0.0006];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6053, 0.0064];[0.3311, 0.014];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.8639, 0.0161];[0.3255, 0.0323];[1.4023, 0.0];[0.8792, 0.0184];[0.826, 0.0174];[0.914, 0.0314];[0.946, 0.0206];[0.994, 0.008];[0.6407, 0.0136];[0.548, 0.0194];[0.648, 0.016];[0.72, 0.0303];[0.948, 0.0194];[1.6916, 0.042];[0.2982, 0.084];[3.085, 0.0];[0.9209, 0.0199];[0.876, 0.0233];[0.956, 0.032];[1.0, 0.0];[1.0, 0.0];[0.7321, 0.0418];[0.592, 0.05];[0.784, 0.0496];[1.0, 0.0];[1.0, 0.0]
train_S2_p;backward;distmult;100;0.5;1;dcr;[493.3727303504944, 2.0876615569906702];[0.022, 0.0013];[0.0128, 0.0013];[0.0165, 0.0012];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3377, 0.0451];[0.3312, 0.047];[0.3295, 0.0434];[0.8814, 0.0253];[0.824, 0.0326];[0.926, 0.0185];[0.95, 0.0253];[0.992, 0.0117];[0.8816, 0.0252];[0.824, 0.0326];[0.926, 0.0185];[0.948, 0.0232];[0.992, 0.0098];[0.3108, 0.077];[0.3104, 0.0866];[0.2965, 0.0677];[0.9178, 0.0262];[0.872, 0.0371];[0.948, 0.0271];[1.0, 0.0];[1.0, 0.0];[0.9179, 0.0259];[0.872, 0.0371];[0.952, 0.024];[1.0, 0.0];[1.0, 0.0]
train_S2_p;backward;distmult;100;0.5;1;r2n;[583.6037822723389, 13.027098751835757];[0.0136, 0.0006];[0.0124, 0.0006];[0.0148, 0.0007];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3361, 0.0349];[0.308, 0.0387];[0.3643, 0.0377];[0.8763, 0.0219];[0.814, 0.0301];[0.926, 0.0185];[0.96, 0.0141];[0.992, 0.0075];[0.8651, 0.0269];[0.798, 0.0387];[0.918, 0.0194];[0.96, 0.0141];[0.992, 0.0075];[0.3153, 0.0871];[0.2818, 0.0783];[0.3488, 0.1021];[0.917, 0.0237];[0.868, 0.0325];[0.96, 0.0253];[1.0, 0.0];[1.0, 0.0];[0.9109, 0.0256];[0.86, 0.042];[0.948, 0.0204];[1.0, 0.0];[1.0, 0.0]
