Task;Grounder;KGE;Rule_Miner;EmbedSize;WeightLoss_Task;Reasoner_depth;Model_name;Time;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3
countries_s2_reason_2p;backward_prune_2;complex;None;100;0.5;1;r2n;[42.503845357894896, 2.258999831761609];[0.0153, 0.0003];[0.0119, 0.0002];[0.0187, 0.0005];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9995, 0.0003];[0.999, 0.0006];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3933, 0.0394];[0.4022, 0.0452];[0.3845, 0.0343];[0.8913, 0.0268];[0.84, 0.04];[0.928, 0.0204];[0.9099, 0.0177];[0.868, 0.0271];[0.932, 0.0204]
countries_s2_reason_2p;backward_prune_2;complex;None;100;0.5;1;no_reasoner;[19.72379026412964, 0.3923650273120506];[2.5768, 0.0001];[0.0119, 0.0002];[5.1417, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6068, 0.0071];[0.3458, 0.0138];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[1.7632, 0.0271];[0.4414, 0.0542];[3.085, 0.0];[0.8883, 0.0133];[0.828, 0.0204];[0.932, 0.016];[0.7234, 0.0209];[0.604, 0.015];[0.816, 0.0697]
countries_s2_reason_2p;backward_prune_2;complex;None;100;0.5;1;sbr;[35.898500204086304, 0.7179629569738565];[0.0132, 0.0003];[0.0124, 0.0002];[0.0139, 0.0005];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4301, 0.0513];[0.4356, 0.054];[0.4245, 0.0488];[0.8804, 0.0252];[0.816, 0.0388];[0.928, 0.0271];[0.8993, 0.0185];[0.844, 0.0294];[0.936, 0.0233]
countries_s2_reason_2p;backward_prune_2;complex;None;100;0.5;1;rnm;[35.785102415084836, 0.8519304955333381];[0.0124, 0.0002];[0.0119, 0.0002];[0.0129, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4377, 0.044];[0.4406, 0.0456];[0.4349, 0.0426];[0.8871, 0.0177];[0.824, 0.0294];[0.936, 0.015];[0.8876, 0.0173];[0.824, 0.0294];[0.94, 0.0126]
countries_s2_reason_2p;backward_prune_2;complex;None;100;0.5;1;dcr;[44.91722960472107, 0.7112507231455081];[0.0251, 0.0029];[0.0122, 0.0003];[0.0159, 0.0014];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9996, 0.0006];[0.9992, 0.0011];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4367, 0.0459];[0.4328, 0.0502];[0.4183, 0.0422];[0.8851, 0.0277];[0.824, 0.0463];[0.928, 0.0204];[0.9103, 0.0187];[0.864, 0.032];[0.94, 0.0126]
countries_s2_reason_2np;backward_2;complex;None;100;0.5;1;r2n;[44.68764977455139, 0.8918585131468044];[0.0129, 0.0002];[0.0121, 0.0002];[0.0137, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.37, 0.0333];[0.4011, 0.0365];[0.3389, 0.0373];[0.8911, 0.0231];[0.84, 0.0335];[0.92, 0.0335];[0.9516, 0.0254];[0.932, 0.0371];[0.956, 0.0294]
countries_s2_reason_2np;backward_2;complex;None;100;0.5;1;no_reasoner;[20.31711435317993, 1.4151839764272005];[2.5768, 0.0001];[0.0119, 0.0002];[5.1417, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6068, 0.0071];[0.3458, 0.0138];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[1.7632, 0.0271];[0.4414, 0.0542];[3.085, 0.0];[0.8883, 0.0133];[0.828, 0.0204];[0.932, 0.016];[0.7234, 0.0209];[0.604, 0.015];[0.816, 0.0697]
countries_s2_reason_2np;backward_2;complex;None;100;0.5;1;sbr;[39.28173828125, 0.5843072999436436];[0.0189, 0.0017];[0.015, 0.0009];[0.0228, 0.0026];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4471, 0.0566];[0.4036, 0.0635];[0.4906, 0.0518];[0.8998, 0.0217];[0.852, 0.0299];[0.932, 0.024];[0.891, 0.0232];[0.832, 0.0412];[0.94, 0.0179]
countries_s2_reason_2np;backward_2;complex;None;100;0.5;1;rnm;[40.42566018104553, 0.14868754848384874];[0.0129, 0.0002];[0.0121, 0.0002];[0.0137, 0.0004];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4335, 0.0569];[0.4404, 0.062];[0.4266, 0.0527];[0.8945, 0.0223];[0.84, 0.0335];[0.932, 0.0299];[0.8964, 0.0212];[0.84, 0.0335];[0.944, 0.0233]
countries_s2_reason_2np;backward_2;complex;None;100;0.5;1;dcr;[49.96095094680786, 0.3842085539574699];[0.0475, 0.0017];[0.0124, 0.0003];[0.0252, 0.0026];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9997, 0.0004];[0.9994, 0.0008];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4316, 0.0454];[0.4314, 0.0631];[0.3784, 0.0312];[0.8937, 0.0217];[0.84, 0.0335];[0.936, 0.015];[0.9522, 0.0258];[0.924, 0.0408];[0.98, 0.0126]
