Task;Grounder;KGE;Rule_Miner;EmbedSize;WeightLoss_Task;Reasoner_depth;Model_name;Time;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kinship_family_small;known;complex;ncrl;100;0.5;1;dcr;[347.62983627319335, 5.4591685139968416];[0.2998, 0.0001];[0.012, 0.0001];[0.012, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.7563, 0.001];[0.4685, 0.001];[0.4685, 0.001];[0.5603, 0.0086];[0.527, 0.0098];[0.557, 0.0089];[0.5603, 0.0086];[0.527, 0.0098];[0.557, 0.0089]
kinship_family_small;known;complex;amie;100;0.5;1;dcr;[378.733750295639, 8.96907317735412];[0.3717, 0.0001];[0.012, 0.0001];[0.012, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.8283, 0.0008];[0.4685, 0.0009];[0.4685, 0.0008];[0.5598, 0.0068];[0.5265, 0.008];[0.5544, 0.0073];[0.562, 0.0071];[0.5285, 0.0085];[0.5567, 0.0079]
kinship_family_small;known;complex;None;100;0.5;1;dcr;[182.59525294303893, 12.194408522576317];[0.1595, 0.0001];[0.012, 0.0001];[0.012, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.616, 0.0011];[0.4685, 0.0011];[0.4686, 0.0011];[0.559, 0.0055];[0.5241, 0.007];[0.5555, 0.0049];[0.56, 0.0057];[0.525, 0.0074];[0.557, 0.0049]
kinship_family_small;known;complex;ncrl;100;0.5;1;r2n;[306.9558425426483, 7.458576166684263];[0.0133, 0.0];[0.012, 0.0001];[0.0146, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4678, 0.001];[0.4678, 0.001];[0.4678, 0.001];[0.5604, 0.0087];[0.527, 0.0098];[0.5567, 0.009];[0.5604, 0.0087];[0.527, 0.0098];[0.5567, 0.009]
kinship_family_small;known;complex;amie;100;0.5;1;r2n;[292.2150282859802, 13.77758990393581];[0.0133, 0.0];[0.012, 0.0001];[0.0147, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4666, 0.0023];[0.4666, 0.0023];[0.4666, 0.0023];[0.5629, 0.0067];[0.5282, 0.0065];[0.5596, 0.0087];[0.5655, 0.0066];[0.5308, 0.0063];[0.5625, 0.0087]
kinship_family_small;known;complex;None;100;0.5;1;r2n;[140.63452048301696, 3.7657627544405448];[0.0133, 0.0001];[0.012, 0.0001];[0.0146, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4672, 0.0026];[0.4672, 0.0026];[0.4672, 0.0026];[0.5617, 0.0064];[0.5262, 0.0041];[0.559, 0.0062];[0.563, 0.0064];[0.5273, 0.0044];[0.5605, 0.0062]
kinship_family_small;known;complex;ncrl;100;0.5;1;gsbr;[166.67583346366882, 2.6130140330365172];[0.012, 0.0001];[0.012, 0.0001];[0.012, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4675, 0.0027];[0.4675, 0.0027];[0.4675, 0.0027];[0.5616, 0.0075];[0.5259, 0.0052];[0.5567, 0.0108];[0.5616, 0.0075];[0.5259, 0.0052];[0.5567, 0.0108]
kinship_family_small;known;complex;amie;100;0.5;1;gsbr;[159.19415040016173, 2.0370525886047393];[0.012, 0.0001];[0.012, 0.0001];[0.012, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4673, 0.0023];[0.4673, 0.0023];[0.4673, 0.0023];[0.5623, 0.0055];[0.5273, 0.004];[0.5576, 0.0081];[0.5644, 0.0054];[0.5291, 0.0037];[0.5602, 0.0079]
kinship_family_small;known;complex;None;100;0.5;1;gsbr;[86.5562343120575, 3.210613000289251];[0.012, 0.0001];[0.012, 0.0001];[0.012, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4678, 0.0026];[0.4678, 0.0026];[0.4678, 0.0026];[0.5621, 0.0064];[0.5262, 0.0049];[0.559, 0.007];[0.5632, 0.0063];[0.527, 0.0049];[0.5605, 0.007]
kinship_family_small;known;complex;ncrl;100;0.5;1;cdcr;[453.38192162513735, 8.999771492341038];[0.2997, 0.0001];[0.0119, 0.0001];[0.0119, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.7553, 0.002];[0.4675, 0.002];[0.4675, 0.002];[0.5584, 0.007];[0.5244, 0.0057];[0.552, 0.0108];[0.5584, 0.007];[0.5244, 0.0057];[0.552, 0.0108]
