Task;Grounder;KGE;EmbedSize;WeightLoss_Task;Reasoner_depth;Model_name;Time;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
countries_s1;known;complex;100;0.5;1;rnm;[15.43541932106018, 5.014731507616907];[0.0119, 0.0001];[0.0119, 0.0001];[0.0119, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3939, 0.0757];[0.3939, 0.0757];[0.3939, 0.0757];[0.9215, 0.0259];[0.88, 0.0379];[0.94, 0.0253];[0.9215, 0.0259];[0.88, 0.0379];[0.94, 0.0253]
countries_s1;known;complex;100;0.5;1;dcr;[17.054753684997557, 5.013992210969272];[0.0158, 0.0004];[0.012, 0.0002];[0.0124, 0.0006];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3555, 0.08];[0.3716, 0.0792];[0.3322, 0.0825];[0.9177, 0.0258];[0.872, 0.0371];[0.94, 0.0253];[0.9437, 0.0347];[0.916, 0.0543];[0.952, 0.0325]
countries_s1;known;complex;100;0.5;1;r2n;[13.56661286354065, 0.1397074337932149];[0.0193, 0.0027];[0.0119, 0.0001];[0.0266, 0.0054];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9983, 0.0008];[0.9966, 0.0015];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2838, 0.0714];[0.3334, 0.0784];[0.2343, 0.0755];[0.9178, 0.0183];[0.872, 0.024];[0.944, 0.0294];[0.9839, 0.0274];[0.976, 0.0388];[0.988, 0.024]
countries_s1;known;complex;100;0.5;1;sbr;[15.3447274684906, 5.192571721622156];[0.0119, 0.0001];[0.0119, 0.0001];[0.0119, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3939, 0.0757];[0.3939, 0.0757];[0.3939, 0.0757];[0.9215, 0.0259];[0.88, 0.0379];[0.94, 0.0253];[0.9215, 0.0259];[0.88, 0.0379];[0.94, 0.0253]
countries_s1;known;complex;100;0.5;1;gsbr;[12.996309900283814, 0.1430424169551796];[0.0119, 0.0001];[0.0119, 0.0001];[0.0119, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3895, 0.0789];[0.3918, 0.0763];[0.3872, 0.0816];[0.9255, 0.0244];[0.888, 0.0349];[0.94, 0.0253];[0.9313, 0.0292];[0.896, 0.0408];[0.944, 0.0294]
countries_s1;known;complex;100;0.5;1;cdcr;[18.219631290435792, 5.165486830785238];[0.0165, 0.0013];[0.0124, 0.0007];[0.0133, 0.0018];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3635, 0.075];[0.3752, 0.0807];[0.3445, 0.0715];[0.9228, 0.0237];[0.884, 0.0344];[0.94, 0.0253];[0.9317, 0.0231];[0.896, 0.0344];[0.952, 0.0299]
countries_s1;known;complex;100;0.5;1;no_reasoner;[12.164213371276855, 0.04716897644346978];[2.5768, 0.0001];[0.0119, 0.0001];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.607, 0.0074];[0.3456, 0.0125];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[1.7356, 0.0464];[0.3863, 0.0927];[3.085, 0.0];[0.9238, 0.02];[0.884, 0.0233];[0.944, 0.0233];[0.7234, 0.0209];[0.604, 0.015];[0.816, 0.0697]
countries_s1;full;complex;100;0.5;1;rnm;[14.65573329925537, 0.06947440360312446];[0.0119, 0.0001];[0.0119, 0.0001];[0.0119, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3776, 0.079];[0.3776, 0.079];[0.3776, 0.079];[0.926, 0.0194];[0.888, 0.0271];[0.944, 0.0294];[0.926, 0.0194];[0.888, 0.0271];[0.944, 0.0294]
countries_s1;full;complex;100;0.5;1;dcr;[24.414842700958253, 6.136518566796715];[0.0191, 0.0006];[0.0119, 0.0001];[0.015, 0.0009];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3774, 0.0645];[0.3839, 0.0749];[0.3595, 0.0541];[0.9229, 0.0268];[0.884, 0.0408];[0.936, 0.0233];[0.9237, 0.0264];[0.884, 0.0408];[0.94, 0.0219]
countries_s1;full;complex;100;0.5;1;r2n;[23.425378847122193, 0.09518363522982634];[0.0132, 0.0001];[0.0119, 0.0001];[0.0145, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3788, 0.0756];[0.3803, 0.0759];[0.3772, 0.0752];[0.9255, 0.022];[0.888, 0.0299];[0.94, 0.0253];[0.9255, 0.0223];[0.888, 0.0299];[0.94, 0.0253]
