Task;Grounder;KGE;EmbedSize;WeightLoss_Task;Reasoner_depth;Model_name;Time;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_concept_hits@5@5;train_concept_hits@10@10;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;train_task_hits@5@5;train_task_hits@10@10;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_hits@10@10;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_hits@10@10;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_concept_hits@5@5;test_concept_hits@10@10;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3;test_task_hits@5@5;test_task_hits@10@10
train_S1_p;known;complex;100;0.5;1;dcr;[16.113847780227662, 0.6756762695602128];[0.0155, 0.0004];[0.0118, 0.0003];[0.0117, 0.0004];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3914, 0.0471];[0.3847, 0.0436];[0.3907, 0.0505];[0.9291, 0.0168];[0.894, 0.0206];[0.956, 0.0196];[0.966, 0.015];[0.992, 0.0098];[0.9424, 0.0205];[0.912, 0.0286];[0.968, 0.016];[0.97, 0.0141];[0.996, 0.0049];[0.3873, 0.0708];[0.3891, 0.0694];[0.3781, 0.072];[0.9332, 0.0245];[0.904, 0.0388];[0.94, 0.0253];[1.0, 0.0];[1.0, 0.0];[0.9473, 0.0255];[0.928, 0.0371];[0.944, 0.0294];[1.0, 0.0];[1.0, 0.0]
train_S1_p;known;complex;100;0.5;1;r2n;[14.89375605583191, 0.24235744204590068];[0.0201, 0.009];[0.0118, 0.0003];[0.0284, 0.0182];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9974, 0.0033];[0.9948, 0.0065];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3366, 0.0355];[0.3339, 0.0355];[0.3394, 0.0358];[0.9304, 0.0092];[0.904, 0.0102];[0.948, 0.0172];[0.958, 0.016];[0.992, 0.0098];[0.953, 0.0226];[0.932, 0.0256];[0.97, 0.0297];[0.974, 0.0265];[0.992, 0.0075];[0.3369, 0.0559];[0.3587, 0.0547];[0.3152, 0.0655];[0.9242, 0.0269];[0.888, 0.0412];[0.936, 0.032];[1.0, 0.0];[1.0, 0.0];[0.9501, 0.0435];[0.928, 0.0627];[0.952, 0.0466];[1.0, 0.0];[1.0, 0.0]
train_S1_p;known;complex;100;0.5;1;sbr;[14.201836252212525, 0.2240955176809105];[0.0194, 0.001];[0.0156, 0.001];[0.0231, 0.0011];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4033, 0.0485];[0.4063, 0.0482];[0.4003, 0.0488];[0.9153, 0.0314];[0.874, 0.0432];[0.946, 0.025];[0.962, 0.0232];[0.992, 0.0098];[0.9365, 0.0359];[0.896, 0.0546];[0.968, 0.0248];[0.986, 0.015];[1.0, 0.0];[0.3586, 0.05];[0.4098, 0.069];[0.3074, 0.0316];[0.933, 0.0191];[0.904, 0.0294];[0.94, 0.0253];[1.0, 0.0];[1.0, 0.0];[0.9638, 0.0203];[0.944, 0.032];[0.984, 0.015];[1.0, 0.0];[1.0, 0.0]
train_S1_p;known;complex;100;0.5;1;rnm;[14.310773372650146, 0.3329483253195558];[0.0135, 0.0005];[0.0119, 0.0003];[0.0152, 0.0006];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4055, 0.0442];[0.4141, 0.0471];[0.397, 0.0413];[0.9265, 0.0191];[0.886, 0.0265];[0.96, 0.0155];[0.964, 0.0136];[0.992, 0.0098];[0.9284, 0.0183];[0.886, 0.0265];[0.96, 0.0155];[0.978, 0.0147];[1.0, 0.0];[0.3795, 0.0543];[0.4196, 0.0705];[0.3394, 0.0389];[0.9327, 0.0214];[0.904, 0.032];[0.936, 0.0233];[1.0, 0.0];[1.0, 0.0];[0.9377, 0.0195];[0.904, 0.032];[0.964, 0.008];[1.0, 0.0];[1.0, 0.0]
train_S1_p;known;complex;100;0.5;1;gsbr;[14.452061223983765, 0.07587230510231563];[0.0118, 0.0003];[0.0118, 0.0003];[0.0118, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4149, 0.0475];[0.4154, 0.0476];[0.4144, 0.0475];[0.925, 0.0186];[0.884, 0.0258];[0.958, 0.016];[0.964, 0.0136];[0.992, 0.0098];[0.9253, 0.0188];[0.884, 0.0258];[0.96, 0.0179];[0.966, 0.0162];[0.992, 0.0098];[0.42, 0.0721];[0.4212, 0.0707];[0.4188, 0.0735];[0.9329, 0.0216];[0.904, 0.032];[0.936, 0.0233];[1.0, 0.0];[1.0, 0.0];[0.9331, 0.0219];[0.904, 0.032];[0.936, 0.0233];[1.0, 0.0];[1.0, 0.0]
train_S1_p;known;complex;100;0.5;1;cdcr;[16.93102264404297, 0.18319210817332635];[0.0191, 0.0044];[0.0137, 0.0023];[0.017, 0.0063];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3928, 0.0378];[0.3908, 0.0368];[0.3873, 0.0388];[0.9241, 0.0248];[0.886, 0.0356];[0.952, 0.0232];[0.964, 0.0206];[0.992, 0.0098];[0.9293, 0.0311];[0.888, 0.0435];[0.962, 0.0286];[0.974, 0.0215];[0.994, 0.008];[0.3829, 0.0636];[0.4023, 0.0689];[0.3561, 0.0698];[0.9283, 0.0272];[0.896, 0.0427];[0.94, 0.0253];[1.0, 0.0];[1.0, 0.0];[0.9437, 0.0354];[0.916, 0.0528];[0.96, 0.0335];[1.0, 0.0];[1.0, 0.0]
train_S1_p;known;complex;100;0.5;1;no_reasoner;[16.090318775177003, 0.12022266868286423];[2.5767, 0.0001];[0.0118, 0.0003];[5.1417, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6113, 0.0099];[0.3225, 0.0238];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9153, 0.0219];[0.4283, 0.0438];[1.4023, 0.0];[0.9168, 0.0203];[0.87, 0.0303];[0.956, 0.0185];[0.964, 0.0185];[0.992, 0.0075];[0.6407, 0.0136];[0.548, 0.0194];[0.648, 0.016];[0.72, 0.0303];[0.948, 0.0194];[1.7597, 0.0367];[0.4345, 0.0733];[3.085, 0.0];[0.9321, 0.0162];[0.904, 0.0233];[0.94, 0.0253];[1.0, 0.0];[1.0, 0.0];[0.7321, 0.0418];[0.592, 0.05];[0.784, 0.0496];[1.0, 0.0];[1.0, 0.0]
train_S1_p;known;distmult;100;0.5;1;dcr;[14.232661581039428, 0.6842034221097317];[0.0157, 0.0001];[0.012, 0.0002];[0.0123, 0.0004];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3752, 0.0524];[0.3668, 0.049];[0.3764, 0.0559];[0.9299, 0.0172];[0.896, 0.0224];[0.956, 0.0196];[0.966, 0.015];[0.992, 0.0098];[0.9441, 0.0207];[0.914, 0.028];[0.97, 0.0179];[0.972, 0.0147];[0.996, 0.0049];[0.3791, 0.076];[0.3859, 0.0732];[0.3651, 0.0793];[0.9217, 0.037];[0.888, 0.0546];[0.932, 0.0204];[1.0, 0.0];[1.0, 0.0];[0.9451, 0.032];[0.924, 0.0463];[0.944, 0.0294];[1.0, 0.0];[1.0, 0.0]
train_S1_p;known;distmult;100;0.5;1;r2n;[13.017617559432983, 0.7422857551020468];[0.0325, 0.0036];[0.0119, 0.0003];[0.0531, 0.0071];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9946, 0.0021];[0.9892, 0.0041];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3162, 0.0346];[0.3107, 0.0343];[0.3217, 0.0349];[0.929, 0.0155];[0.898, 0.0172];[0.944, 0.0206];[0.96, 0.019];[0.992, 0.0098];[0.97, 0.0167];[0.944, 0.0294];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.2814, 0.0375];[0.3444, 0.0572];[0.2185, 0.0203];[0.9147, 0.0287];[0.876, 0.0427];[0.928, 0.024];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0]
train_S1_p;known;distmult;100;0.5;1;sbr;[12.589612817764282, 0.7450360737175474];[0.0194, 0.0009];[0.0156, 0.0008];[0.0232, 0.0011];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3868, 0.0487];[0.3894, 0.0488];[0.3843, 0.0487];[0.9107, 0.0269];[0.87, 0.0352];[0.94, 0.0261];[0.958, 0.0194];[0.992, 0.0098];[0.9339, 0.0349];[0.894, 0.05];[0.968, 0.0271];[0.98, 0.0179];[1.0, 0.0];[0.347, 0.0533];[0.399, 0.0716];[0.295, 0.0351];[0.9169, 0.0251];[0.876, 0.0344];[0.936, 0.0233];[1.0, 0.0];[1.0, 0.0];[0.961, 0.0208];[0.936, 0.032];[0.988, 0.016];[1.0, 0.0];[1.0, 0.0]
