Task;Grounder;KGE;EmbedSize;WeightLoss_Task;Reasoner_depth;Model_name;Time;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nations_AMIE;backward_1;complex;100;0.5;1;rnm;[81.11701183319092, 0.9713907642988604];[0.0132, 0.0001];[0.0132, 0.0001];[0.0132, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.381, 0.0086];[0.381, 0.0086];[0.381, 0.0086];[0.6993, 0.003];[0.596, 0.0043];[0.7323, 0.0043];[0.6993, 0.003];[0.596, 0.0043];[0.7323, 0.0043]
nations_AMIE;backward_1;complex;100;0.5;1;dcr;[166.7095664024353, 1.6524769655731903];[0.1728, 0.0006];[0.0168, 0.0004];[0.0483, 0.0009];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5019, 0.0075];[0.3688, 0.0073];[0.3544, 0.0078];[0.7058, 0.0032];[0.6015, 0.0069];[0.7448, 0.0046];[0.7096, 0.0064];[0.607, 0.008];[0.7428, 0.0062]
nations_AMIE;backward_1;complex;100;0.5;1;r2n;[107.00683574676513, 4.064499004229695];[0.016, 0.0005];[0.017, 0.0007];[0.0151, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3542, 0.007];[0.3601, 0.006];[0.3483, 0.0081];[0.7039, 0.0065];[0.6015, 0.0102];[0.7443, 0.0084];[0.7058, 0.0068];[0.604, 0.0115];[0.7428, 0.0094]
nations_AMIE;backward_1;complex;100;0.5;1;sbr;[82.9300012588501, 2.115171744003833];[0.0132, 0.0001];[0.0132, 0.0001];[0.0132, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.381, 0.0086];[0.381, 0.0086];[0.381, 0.0086];[0.6993, 0.003];[0.596, 0.0043];[0.7323, 0.0043];[0.6993, 0.003];[0.596, 0.0043];[0.7323, 0.0043]
nations_AMIE;backward_1;complex;100;0.5;1;gsbr;[94.95517454147338, 1.906723073578068];[0.0134, 0.0001];[0.0135, 0.0001];[0.0132, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.379, 0.0084];[0.3797, 0.0083];[0.3784, 0.0085];[0.6996, 0.0045];[0.5965, 0.0051];[0.7338, 0.0065];[0.7008, 0.0049];[0.5985, 0.0062];[0.7333, 0.0064]
nations_AMIE;backward_1;complex;100;0.5;1;cdcr;[213.3571346759796, 2.2956583479665174];[0.2287, 0.0047];[0.0353, 0.001];[0.1414, 0.0089];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9987, 0.0004];[0.9975, 0.0008];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4823, 0.0049];[0.3404, 0.005];[0.3436, 0.0055];[0.6984, 0.0085];[0.5925, 0.013];[0.7383, 0.0107];[0.7017, 0.0071];[0.5965, 0.0082];[0.7408, 0.0119]
nations_AMIE;backward_1;complex;100;0.5;1;no_reasoner;[67.71157603263855, 7.896236163562066];[2.5774, 0.0002];[0.0131, 0.0003];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6087, 0.0059];[0.3397, 0.0136];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.738, 0.0062];[0.3742, 0.0124];[1.1018, 0.0];[0.7085, 0.0094];[0.6095, 0.0132];[0.7373, 0.0175];[0.6847, 0.0048];[0.5746, 0.0044];[0.7109, 0.0107]
nations_AMIE;known;complex;100;0.5;1;rnm;[83.58548855781555, 8.134551517032133];[0.0132, 0.0003];[0.0132, 0.0003];[0.0132, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3779, 0.0109];[0.3779, 0.0109];[0.3779, 0.0109];[0.7063, 0.0103];[0.6055, 0.0118];[0.7443, 0.0152];[0.7063, 0.0103];[0.6055, 0.0118];[0.7443, 0.0152]
nations_AMIE;known;complex;100;0.5;1;dcr;[169.20691957473755, 2.5666418324554257];[0.1544, 0.0009];[0.0135, 0.0005];[0.014, 0.0011];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5177, 0.0116];[0.3771, 0.0115];[0.377, 0.0121];[0.7027, 0.0109];[0.6, 0.0127];[0.7388, 0.021];[0.7012, 0.0121];[0.5975, 0.0145];[0.7378, 0.0204]
nations_AMIE;known;complex;100;0.5;1;r2n;[106.44969177246094, 11.993699192697141];[0.0146, 0.0003];[0.0135, 0.0003];[0.0156, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3696, 0.0102];[0.3759, 0.0109];[0.3633, 0.0096];[0.7051, 0.0122];[0.6025, 0.0165];[0.7428, 0.0161];[0.703, 0.0104];[0.6005, 0.0128];[0.7408, 0.0142]
