Task;Grounder;KGE;Rule_Miner;EmbedSize;WeightLoss_Task;Reasoner_depth;Model_name;Time;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nations;known;complex;amie;100;0.5;1;no_reasoner;[79.33705105781556, 0.8408385277027557];[2.5775, 0.0001];[0.0133, 0.0003];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6087, 0.0059];[0.3397, 0.0136];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.7433, 0.0053];[0.3848, 0.0106];[1.1018, 0.0];[0.6837, 0.0036];[0.5791, 0.0097];[0.709, 0.007];[0.6736, 0.005];[0.5677, 0.006];[0.6935, 0.0073]
nations;known;complex;amie;100;0.5;1;dcr;[416.9673770427704, 4.75413422565628];[0.3731, 0.0003];[0.0133, 0.0003];[0.0133, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.7471, 0.0088];[0.3874, 0.0088];[0.3874, 0.0088];[0.6846, 0.0045];[0.5816, 0.0108];[0.71, 0.0076];[0.6846, 0.0045];[0.5816, 0.0108];[0.71, 0.0076]
nations;known;complex;amie;100;0.5;1;r2n;[210.6637701511383, 6.004300081337607];[0.0147, 0.0002];[0.0134, 0.0003];[0.016, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3811, 0.0091];[0.3874, 0.0092];[0.3748, 0.0091];[0.6842, 0.0041];[0.5806, 0.0114];[0.7139, 0.0115];[0.6843, 0.0068];[0.5811, 0.0135];[0.7169, 0.0062]
nations;known;complex;amie;100;0.5;1;gsbr;[181.1603961467743, 7.097326915132736];[0.0133, 0.0002];[0.0133, 0.0002];[0.0133, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3868, 0.009];[0.3868, 0.009];[0.3868, 0.009];[0.6848, 0.0039];[0.5816, 0.0095];[0.7109, 0.0101];[0.6848, 0.0039];[0.5816, 0.0095];[0.7109, 0.0101]
nations;known;complex;amie;100;0.5;1;cdcr;[591.7196694374085, 16.531344955227862];[0.3731, 0.0003];[0.0133, 0.0003];[0.0133, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.7468, 0.0089];[0.3871, 0.0089];[0.3871, 0.0089];[0.6843, 0.0041];[0.5806, 0.0104];[0.71, 0.008];[0.6843, 0.0041];[0.5806, 0.0104];[0.71, 0.008]
nations;backward_1;complex;amie;100;0.5;1;no_reasoner;[84.83539495468139, 21.67332480673027];[2.5775, 0.0001];[0.0133, 0.0003];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6087, 0.0059];[0.3397, 0.0136];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.7433, 0.0053];[0.3848, 0.0106];[1.1018, 0.0];[0.6837, 0.0036];[0.5791, 0.0097];[0.709, 0.007];[0.6736, 0.005];[0.5677, 0.006];[0.6935, 0.0073]
nations;backward_1;complex;amie;100;0.5;1;dcr;[447.16855173110963, 16.044236894475794];[0.3884, 0.0009];[0.015, 0.0009];[0.0292, 0.001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.7376, 0.0141];[0.3765, 0.0135];[0.3661, 0.0137];[0.6932, 0.0125];[0.5886, 0.0143];[0.7368, 0.0182];[0.6922, 0.0147];[0.5841, 0.018];[0.7438, 0.0205]
nations;backward_1;complex;amie;100;0.5;1;r2n;[224.9146074771881, 23.420733249326886];[0.0172, 0.0014];[0.0161, 0.0003];[0.0183, 0.0029];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9996, 0.0005];[0.9991, 0.0009];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3659, 0.0082];[0.3697, 0.0091];[0.3622, 0.0076];[0.6918, 0.0123];[0.5856, 0.0159];[0.7353, 0.0179];[0.6946, 0.0094];[0.5896, 0.0111];[0.7393, 0.0144]
nations;backward_1;complex;amie;100;0.5;1;gsbr;[192.18553557395936, 25.069010809980668];[0.0134, 0.0003];[0.0136, 0.0004];[0.0131, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3831, 0.0147];[0.3836, 0.0146];[0.3826, 0.0149];[0.6917, 0.0111];[0.5896, 0.0152];[0.7254, 0.0114];[0.6901, 0.0119];[0.5866, 0.0172];[0.7249, 0.0088]
nations;backward_1;complex;amie;100;0.5;1;cdcr;[3566.1929594039916, 5995.257794222687];[0.3942, 0.0028];[0.0161, 0.0006];[0.037, 0.0036];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9999, 0.0003];[0.9997, 0.0005];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.714, 0.0064];[0.3523, 0.0048];[0.3405, 0.007];[0.6981, 0.0072];[0.599, 0.0088];[0.7269, 0.0097];[0.6999, 0.0076];[0.5995, 0.0094];[0.7353, 0.0105]
