Task;Grounder;KGE;Rule_Miner;EmbedSize;WeightLoss_Task;Reasoner_depth;Model_name;Time;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3
pharmkg_supersmall;known;complex;ncrl;100;0.5;1;dcr;[82.1318289756775, 1.6819984933517302];[0.0733, 0.0002];[0.0122, 0.0002];[0.0122, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2818, 0.0158];[0.2206, 0.0158];[0.2206, 0.0158];[0.6635, 0.013];[0.5927, 0.0128];[0.6742, 0.0264];[0.6635, 0.013];[0.5927, 0.0128];[0.6742, 0.0264]
pharmkg_supersmall;known;complex;amie;100;0.5;1;dcr;[362.9098483562469, 4.892529697574644];[0.3723, 0.0002];[0.0122, 0.0002];[0.0124, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5793, 0.0167];[0.2199, 0.0165];[0.2187, 0.0171];[0.6625, 0.0141];[0.5879, 0.0143];[0.6815, 0.0194];[0.665, 0.0152];[0.5895, 0.0141];[0.6863, 0.0227]
pharmkg_supersmall;known;complex;ncrl;100;0.5;1;r2n;[52.66359968185425, 7.756762762590558];[0.0135, 0.0002];[0.0122, 0.0002];[0.0147, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2186, 0.0156];[0.2209, 0.0158];[0.2162, 0.0153];[0.6636, 0.0128];[0.5927, 0.0128];[0.6742, 0.0264];[0.6653, 0.0125];[0.5944, 0.0132];[0.6742, 0.0284]
pharmkg_supersmall;known;complex;amie;100;0.5;1;r2n;[148.45285711288452, 5.597901746168302];[0.0135, 0.0002];[0.0123, 0.0002];[0.0146, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2143, 0.0139];[0.2164, 0.014];[0.2121, 0.0139];[0.662, 0.0142];[0.5895, 0.0133];[0.679, 0.0229];[0.6651, 0.0145];[0.5935, 0.016];[0.679, 0.024]
pharmkg_supersmall;known;complex;ncrl;100;0.5;1;gsbr;[45.84589295387268, 7.260792797531044];[0.0122, 0.0002];[0.0122, 0.0002];[0.0122, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2206, 0.0158];[0.2206, 0.0158];[0.2206, 0.0158];[0.6635, 0.013];[0.5927, 0.0128];[0.6742, 0.0264];[0.6635, 0.013];[0.5927, 0.0128];[0.6742, 0.0264]
pharmkg_supersmall;known;complex;amie;100;0.5;1;gsbr;[123.33966627120972, 1.8702981827852925];[0.0122, 0.0002];[0.0122, 0.0002];[0.0122, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2208, 0.0169];[0.2208, 0.0169];[0.2209, 0.0169];[0.6635, 0.013];[0.5919, 0.0129];[0.675, 0.0217];[0.6635, 0.013];[0.5919, 0.0129];[0.675, 0.0217]
pharmkg_supersmall;known;complex;ncrl;100;0.5;1;cdcr;[110.9000795841217, 7.12838008500263];[0.0733, 0.0002];[0.0122, 0.0002];[0.0122, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2818, 0.0158];[0.2206, 0.0158];[0.2206, 0.0158];[0.6635, 0.013];[0.5927, 0.0128];[0.6742, 0.0264];[0.6635, 0.013];[0.5927, 0.0128];[0.6742, 0.0264]
pharmkg_supersmall;known;complex;amie;100;0.5;1;cdcr;[522.1715569496155, 6.812624298394229];[0.3734, 0.0027];[0.0129, 0.0013];[0.0143, 0.0041];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5781, 0.0174];[0.2192, 0.017];[0.2174, 0.0179];[0.6638, 0.0153];[0.5919, 0.0156];[0.6758, 0.0211];[0.6663, 0.0157];[0.5919, 0.0156];[0.6823, 0.0206]
pharmkg_supersmall;known;complex;ncrl;100;0.5;1;no_reasoner;[34.877793073654175, 15.749085344593004];[2.5769, 0.0001];[0.0122, 0.0002];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6062, 0.0084];[0.3457, 0.0139];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3676, 0.0081];[0.2211, 0.0161];[0.5142, 0.0];[0.6637, 0.0135];[0.5919, 0.0156];[0.6742, 0.02];[0.5884, 0.0075];[0.5161, 0.0072];[0.5702, 0.0104]
pharmkg_supersmall;known;complex;amie;100;0.5;1;no_reasoner;[32.43166975975036, 11.566632531207096];[2.5769, 0.0001];[0.0122, 0.0002];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6062, 0.0084];[0.3457, 0.0139];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3676, 0.0081];[0.2211, 0.0161];[0.5142, 0.0];[0.6637, 0.0135];[0.5919, 0.0156];[0.6742, 0.02];[0.5884, 0.0075];[0.5161, 0.0072];[0.5702, 0.0104]
