Task;Grounder;KGE;Rule_Miner;EmbedSize;WeightLoss_Task;Reasoner_depth;Model_name;Time;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3
pharmkg_full;backward_1;complex;amie;100;0.5;1;no_reasoner;[792.6516040802002, 5.663170397661458];[2.9206, 0.0035];[0.6995, 0.0071];[5.1417, 0.0];[0.682, 0.0125];[0.447, 0.0208];[1.0, 0.0];[0.6106, 0.0003];[0.3338, 0.0005];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.1904, 0.0005];[0.3655, 0.0011];[0.0154, 0.0];[0.5089, 0.0019];[0.5022, 0.0008];[0.5057, 0.0018];[0.5038, 0.0001];[0.5005, 0.0001];[0.5015, 0.0]
pharmkg_full;backward_1;complex;amie;100;0.5;1;sbr;[5904.376435947418, 4389.025090451105];[0.5217, 0.0034];[0.5198, 0.0033];[0.5236, 0.0034];[0.8805, 0.0024];[0.781, 0.0042];[1.0, 0.0];[0.8838, 0.0024];[0.7867, 0.0042];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3452, 0.0036];[0.3418, 0.0036];[0.3485, 0.0037];[0.5445, 0.0011];[0.5169, 0.0006];[0.5412, 0.0012];[0.5458, 0.0011];[0.5173, 0.0006];[0.5427, 0.0013]
pharmkg_full;backward_1;complex;amie;100;0.5;1;rnm;[3796.355649089813, 184.24169647745876];[0.5104, 0.0036];[0.5105, 0.0037];[0.5103, 0.0036];[0.8833, 0.0019];[0.7858, 0.0032];[1.0, 0.0];[0.884, 0.0019];[0.7869, 0.0032];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3375, 0.0021];[0.3374, 0.0021];[0.3376, 0.0021];[0.5434, 0.0005];[0.5163, 0.0003];[0.5396, 0.0005];[0.5434, 0.0005];[0.5163, 0.0003];[0.5396, 0.0005]
kinship_family;backward_1;complex;amie;100;0.5;1;no_reasoner;[76.30754556655884, 1.006329778854989];[2.5782, 0.0001];[0.0148, 0.0001];[5.1417, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6106, 0.0021];[0.3339, 0.002];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2469, 0.0005];[0.4785, 0.0009];[0.0154, 0.0];[0.5754, 0.0033];[0.5326, 0.0022];[0.5755, 0.0043];[0.5038, 0.0002];[0.5005, 0.0002];[0.5018, 0.0002]
kinship_family;backward_1;complex;amie;100;0.5;1;rnm;[362.65501952171326, 15.77630542255688];[0.0124, 0.0001];[0.012, 0.0];[0.0129, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5177, 0.0004];[0.5176, 0.0004];[0.5178, 0.0004];[0.5471, 0.0017];[0.5163, 0.0008];[0.5412, 0.0015];[0.5472, 0.0017];[0.5163, 0.0008];[0.5412, 0.0015]
kinship_family;backward_1;complex;amie;100;0.5;1;dcr;[514.520028591156, 12.285285663998483];[0.1289, 0.0116];[0.0261, 0.0031];[0.0238, 0.0024];[0.9999, 0.0];[0.9998, 0.0001];[1.0, 0.0];[1.0, 0.0];[0.9999, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.9093, 0.0322];[0.4912, 0.0033];[0.5092, 0.0053];[0.5369, 0.0036];[0.5146, 0.0021];[0.5353, 0.0046];[0.7958, 0.0187];[0.7754, 0.0208];[0.8029, 0.0188]
kinship_family;backward_2;complex;amie;100;0.5;1;rnm;[5186.8746009349825, 1874.1499207505592];[0.0769, 0.0004];[0.0141, 0.0001];[0.1397, 0.0009];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4925, 0.0007];[0.4841, 0.0007];[0.501, 0.0007];[0.5844, 0.0022];[0.5361, 0.0013];[0.5879, 0.0031];[0.5844, 0.0022];[0.5361, 0.0013];[0.5879, 0.0031]
