Task;Grounder;KGE;Rule_Miner;EmbedSize;WeightLoss_Task;Reasoner_depth;Model_name;Time;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3
countries_s2_reason_2np;backward_1;complex;None;100;0.5;1;no_reasoner;[19.478445482254028, 0.5555337409999666];[2.5768, 0.0001];[0.012, 0.0002];[5.1417, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6068, 0.0071];[0.3458, 0.0138];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[1.7525, 0.0163];[0.4199, 0.0327];[3.085, 0.0];[0.8917, 0.0121];[0.828, 0.0204];[0.944, 0.015];[0.7234, 0.0209];[0.604, 0.015];[0.816, 0.0697]
countries_s2_reason_2np;backward_1;complex;None;100;0.5;1;sbr;[26.709653043746947, 0.36875100065477895];[0.0132, 0.0003];[0.0126, 0.0003];[0.0138, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4161, 0.039];[0.4208, 0.0358];[0.4115, 0.0423];[0.8935, 0.0161];[0.832, 0.0325];[0.936, 0.0196];[0.9085, 0.0251];[0.852, 0.0483];[0.948, 0.016]
countries_s2_reason_2np;backward_1;complex;None;100;0.5;1;rnm;[30.869903326034546, 7.340125802594016];[0.0124, 0.0002];[0.012, 0.0002];[0.0128, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4206, 0.044];[0.4221, 0.0421];[0.419, 0.0459];[0.8954, 0.0152];[0.836, 0.032];[0.932, 0.0204];[0.8961, 0.0155];[0.836, 0.032];[0.94, 0.0219]
countries_s2_reason_2np;backward_1;complex;None;100;0.5;1;dcr;[34.88850464820862, 0.6741442382747362];[0.0191, 0.0016];[0.0125, 0.0007];[0.0147, 0.0027];[0.9999, 0.0002];[0.9998, 0.0004];[1.0, 0.0];[0.9998, 0.0004];[0.9996, 0.0008];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.408, 0.0324];[0.4038, 0.0335];[0.4006, 0.0317];[0.8939, 0.0192];[0.836, 0.0388];[0.936, 0.0196];[0.9016, 0.0165];[0.848, 0.0349];[0.94, 0.0126]
countries_s2_reason_2np;backward_1;complex;None;100;0.5;1;r2n;[29.12717709541321, 0.6121855267971351];[0.0161, 0.0004];[0.012, 0.0002];[0.0203, 0.0006];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9993, 0.0007];[0.9986, 0.0013];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3725, 0.0405];[0.3824, 0.0409];[0.3625, 0.0415];[0.8951, 0.0141];[0.832, 0.0271];[0.944, 0.0265];[0.9107, 0.0169];[0.856, 0.032];[0.948, 0.0204]
countries_s1;backward_1;complex;None;100;0.5;1;no_reasoner;[18.67443904876709, 0.7423276199412653];[2.5768, 0.0001];[0.012, 0.0001];[5.1417, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.607, 0.0074];[0.3456, 0.0125];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[1.7347, 0.047];[0.3844, 0.0939];[3.085, 0.0];[0.9305, 0.03];[0.9, 0.042];[0.94, 0.0283];[0.7234, 0.0209];[0.604, 0.015];[0.816, 0.0697]
countries_s1;backward_1;complex;None;100;0.5;1;sbr;[26.628776264190673, 13.025596138063236];[0.0151, 0.0005];[0.0135, 0.0004];[0.0167, 0.0006];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3291, 0.0708];[0.3807, 0.0913];[0.2774, 0.0529];[0.9295, 0.0302];[0.9, 0.042];[0.936, 0.0233];[0.9607, 0.0207];[0.936, 0.032];[0.992, 0.0098]
countries_s1;backward_1;complex;None;100;0.5;1;rnm;[19.838081502914427, 0.7558174679172068];[0.0129, 0.0002];[0.0121, 0.0002];[0.0138, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3461, 0.0668];[0.3891, 0.0863];[0.3032, 0.0493];[0.9253, 0.0303];[0.892, 0.0431];[0.936, 0.0233];[0.931, 0.0282];[0.892, 0.0431];[0.972, 0.0204]
countries_s1;backward_1;complex;None;100;0.5;1;dcr;[23.78838243484497, 0.4442252350453893];[0.0199, 0.0029];[0.0126, 0.0004];[0.0201, 0.005];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9997, 0.0004];[0.9995, 0.0007];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.313, 0.0811];[0.3483, 0.0866];[0.2706, 0.0796];[0.9265, 0.0266];[0.892, 0.0371];[0.94, 0.0358];[0.9727, 0.0308];[0.96, 0.042];[0.976, 0.0388]
countries_s1;backward_1;complex;None;100;0.5;1;r2n;[21.134784841537474, 0.18076662291740916];[0.0214, 0.0015];[0.012, 0.0001];[0.0308, 0.003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9977, 0.0009];[0.9955, 0.0017];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2667, 0.065];[0.3267, 0.0934];[0.2068, 0.0377];[0.932, 0.0265];[0.904, 0.0344];[0.936, 0.0388];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0]
countries_s1;backward_prune_2;complex;None;100;0.5;1;no_reasoner;[18.85846300125122, 0.3279735979578962];[2.5768, 0.0001];[0.012, 0.0001];[5.1417, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.607, 0.0074];[0.3456, 0.0125];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[1.7347, 0.047];[0.3844, 0.0939];[3.085, 0.0];[0.9305, 0.03];[0.9, 0.042];[0.94, 0.0283];[0.7234, 0.0209];[0.604, 0.015];[0.816, 0.0697]
countries_s1;backward_prune_2;complex;None;100;0.5;1;sbr;[19.919465208053587, 0.17380454708342422];[0.0153, 0.0004];[0.0133, 0.0002];[0.0174, 0.0007];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.32, 0.0642];[0.3778, 0.0901];[0.2622, 0.0394];[0.926, 0.0258];[0.892, 0.0325];[0.936, 0.0344];[0.976, 0.0188];[0.96, 0.0335];[0.992, 0.0098]
countries_s1;backward_prune_2;complex;None;100;0.5;1;rnm;[20.209121799468996, 0.3176556119947317];[0.013, 0.0002];[0.012, 0.0002];[0.014, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3428, 0.0689];[0.3895, 0.091];[0.2961, 0.0484];[0.9222, 0.0275];[0.884, 0.0388];[0.936, 0.0344];[0.9327, 0.0219];[0.888, 0.0371];[0.992, 0.0098]
countries_s1;backward_prune_2;complex;None;100;0.5;1;dcr;[24.050029230117797, 0.22662744958978556];[0.0227, 0.0018];[0.0123, 0.0002];[0.0239, 0.0045];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9995, 0.0005];[0.9989, 0.0013];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2825, 0.0583];[0.3326, 0.0841];[0.2227, 0.0347];[0.9204, 0.0272];[0.88, 0.0358];[0.936, 0.0344];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0]
countries_s1;backward_prune_2;complex;None;100;0.5;1;r2n;[21.47823348045349, 0.12451484059905533];[0.0174, 0.0035];[0.012, 0.0002];[0.0228, 0.0071];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9994, 0.0011];[0.9987, 0.0021];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3033, 0.0984];[0.3347, 0.0907];[0.2719, 0.1075];[0.9229, 0.0292];[0.884, 0.0427];[0.936, 0.0344];[0.9722, 0.0343];[0.964, 0.0445];[0.964, 0.0445]
