Task;Grounder;KGE;Rule_Miner;EmbedSize;WeightLoss_Task;Reasoner_depth;Model_name;Time;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3
countries_s1;known;complex;None;100;0.5;1;no_reasoner;[20.741122341156007, 1.2693271247724303];[2.5768, 0.0];[0.012, 0.0];[5.1417, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.607, 0.0074];[0.3456, 0.0125];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[1.7376, 0.0488];[0.3902, 0.0976];[3.085, 0.0];[0.9092, 0.01];[0.856, 0.008];[0.94, 0.0283];[0.7234, 0.0209];[0.604, 0.015];[0.816, 0.0697]
countries_s1;known;complex;None;100;0.5;1;dcr;[24.243288373947145, 0.9372155232591806];[0.016, 0.0007];[0.0122, 0.0003];[0.0127, 0.001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3559, 0.096];[0.3676, 0.0963];[0.3369, 0.0969];[0.9025, 0.02];[0.848, 0.0271];[0.94, 0.0283];[0.9357, 0.0411];[0.904, 0.0662];[0.952, 0.0271]
countries_s1;known;complex;None;100;0.5;1;r2n;[22.591141843795775, 0.6952167833052161];[0.0192, 0.0029];[0.012, 0.0];[0.0264, 0.0058];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9986, 0.0009];[0.9973, 0.0017];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.286, 0.0809];[0.337, 0.0863];[0.2349, 0.0854];[0.9167, 0.0164];[0.876, 0.0196];[0.936, 0.0294];[0.9859, 0.0235];[0.98, 0.031];[0.988, 0.024]
countries_s1;known;complex;None;100;0.5;1;gsbr;[21.44939637184143, 0.2999481149387887];[0.012, 0.0];[0.012, 0.0];[0.012, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3954, 0.0982];[0.3981, 0.0953];[0.3926, 0.1013];[0.9023, 0.0162];[0.848, 0.024];[0.94, 0.0283];[0.909, 0.0262];[0.86, 0.0379];[0.94, 0.0283]
countries_s1;known;complex;None;100;0.5;1;cdcr;[25.633977556228636, 0.5421096990924842];[0.0174, 0.0014];[0.0128, 0.0006];[0.0147, 0.0022];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3454, 0.0803];[0.3767, 0.0941];[0.3069, 0.0778];[0.9045, 0.0188];[0.852, 0.0271];[0.94, 0.0283];[0.9461, 0.0283];[0.912, 0.0412];[0.972, 0.0299]
countries_s1;backward_1;complex;None;100;0.5;1;no_reasoner;[20.374684429168703, 0.7984023968505707];[2.5768, 0.0];[0.012, 0.0];[5.1417, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.607, 0.0074];[0.3456, 0.0125];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[1.7376, 0.0488];[0.3902, 0.0976];[3.085, 0.0];[0.9092, 0.01];[0.856, 0.008];[0.94, 0.0283];[0.7234, 0.0209];[0.604, 0.015];[0.816, 0.0697]
countries_s1;backward_1;complex;None;100;0.5;1;dcr;[23.660580348968505, 1.2387894479390518];[0.016, 0.0007];[0.0122, 0.0003];[0.0127, 0.001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3361, 0.0895];[0.3497, 0.0931];[0.3152, 0.0881];[0.9017, 0.0174];[0.852, 0.0271];[0.936, 0.032];[0.9413, 0.0343];[0.916, 0.0512];[0.948, 0.0271]
countries_s1;backward_1;complex;None;100;0.5;1;r2n;[22.94965443611145, 0.9416788148490811];[0.0192, 0.0029];[0.012, 0.0];[0.0264, 0.0058];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9986, 0.0009];[0.9973, 0.0017];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2724, 0.083];[0.3204, 0.0825];[0.2245, 0.0906];[0.9237, 0.0235];[0.888, 0.0299];[0.936, 0.0294];[0.9856, 0.0241];[0.98, 0.031];[0.984, 0.032]
countries_s1;backward_1;complex;None;100;0.5;1;gsbr;[22.166346883773805, 0.9530059879177988];[0.012, 0.0];[0.012, 0.0];[0.012, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3765, 0.0947];[0.3793, 0.0919];[0.3736, 0.0978];[0.9024, 0.0215];[0.852, 0.0299];[0.936, 0.032];[0.9117, 0.036];[0.868, 0.0531];[0.936, 0.032]
countries_s1;backward_1;complex;None;100;0.5;1;cdcr;[25.23085136413574, 0.34693342744434835];[0.0174, 0.0014];[0.0128, 0.0006];[0.0147, 0.0022];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3295, 0.0779];[0.3583, 0.0887];[0.2935, 0.0768];[0.9045, 0.0154];[0.856, 0.0233];[0.94, 0.0335];[0.9447, 0.0338];[0.912, 0.0515];[0.968, 0.0371]
countries_s1;backward_2;complex;None;100;0.5;1;no_reasoner;[20.486419439315796, 1.2888842237978178];[2.5768, 0.0];[0.012, 0.0];[5.1417, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.607, 0.0074];[0.3456, 0.0125];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[1.7376, 0.0488];[0.3902, 0.0976];[3.085, 0.0];[0.9092, 0.01];[0.856, 0.008];[0.94, 0.0283];[0.7234, 0.0209];[0.604, 0.015];[0.816, 0.0697]
countries_s1;backward_2;complex;None;100;0.5;1;dcr;[24.980670261383057, 0.15825699533930146];[0.0165, 0.0001];[0.0121, 0.0001];[0.0135, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3802, 0.0804];[0.3832, 0.0856];[0.3697, 0.0754];[0.918, 0.0208];[0.872, 0.0271];[0.944, 0.0294];[0.9182, 0.0207];[0.872, 0.0271];[0.944, 0.0294]
countries_s1;backward_2;complex;None;100;0.5;1;r2n;[24.879410123825075, 1.5978750516551254];[0.0132, 0.0001];[0.0121, 0.0001];[0.0144, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3876, 0.0863];[0.3896, 0.0887];[0.3855, 0.0839];[0.9067, 0.0164];[0.856, 0.0233];[0.944, 0.0294];[0.9069, 0.0161];[0.856, 0.0233];[0.944, 0.0294]
countries_s1;backward_2;complex;None;100;0.5;1;gsbr;[21.901363134384155, 0.23896955719659077];[0.0121, 0.0001];[0.0121, 0.0001];[0.0121, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3828, 0.0835];[0.3828, 0.0835];[0.3828, 0.0835];[0.9093, 0.0118];[0.86, 0.0126];[0.944, 0.0294];[0.9093, 0.0118];[0.86, 0.0126];[0.944, 0.0294]
countries_s1;backward_2;complex;None;100;0.5;1;cdcr;[27.979350757598876, 1.968661043423113];[0.0211, 0.0039];[0.0142, 0.0021];[0.0191, 0.0054];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3517, 0.0983];[0.3391, 0.1128];[0.3554, 0.0858];[0.923, 0.0213];[0.884, 0.032];[0.94, 0.0283];[0.9331, 0.0325];[0.896, 0.0496];[0.956, 0.0294]
