sep=;
0;1.0;0.31801801919937134;1.0;0.693154513835907;0.5993993282318115;0.7278088927268982;1.0;0.3333333432674408;1.0;0.6931486129760742;0.6120119094848633;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.5495495200157166;1.0;0.6930472254753113;0.7486485242843628;0.7276979684829712;1.0;0.616216242313385;1.0;0.6930339932441711;0.7858858108520508;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.8081080913543701;1.0;0.69289630651474;0.8987988233566284;0.7275460362434387;1.0;0.8432432413101196;1.0;0.6928811073303223;0.9172672033309937;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.9423423409461975;1.0;0.6926661729812622;0.9705706238746643;0.7273141145706177;1.0;0.9603603482246399;1.0;0.6926474571228027;0.9798799753189087;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.9792792797088623;1.0;0.6923121809959412;0.9893394112586975;0.7269573211669922;1.0;0.9882882833480835;1.0;0.6922878623008728;0.9939940571784973;0.7699999809265137;0.6299999952316284;0.7400000095367432;0.34981486201286316;0.6924557685852051;0.38447171449661255;0.8199999928474426;0.6399999856948853;0.7599999904632568;0.3498137593269348;0.7115443348884583
5;1.0;0.9945945739746094;1.0;0.6917779445648193;0.9971472024917603;0.72641921043396;1.0;0.9981982111930847;1.0;0.6917457580566406;0.99909907579422;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.9972972869873047;1.0;0.6909914016723633;0.9986486434936523;0.7256274819374084;1.0;0.99909907579422;1.0;0.6909487247467041;0.9995495676994324;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.99909907579422;1.0;0.6898608803749084;0.9995495676994324;0.7244900465011597;1.0;1.0;1.0;0.6898041367530823;1.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.99909907579422;1.0;0.6882742047309875;0.9995495676994324;0.7228941917419434;1.0;1.0;1.0;0.6881986856460571;1.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.99909907579422;1.0;0.6860988140106201;0.9995495676994324;0.7207068204879761;1.0;1.0;1.0;0.6859986186027527;1.0;0.8899999856948853;0.800000011920929;0.8399999737739563;0.34850770235061646;0.8320615887641907;0.3831641674041748;0.9100000262260437;0.8399999737739563;0.8799999952316284;0.3485027551651001;0.8687961101531982
