seed;model_name;dataset_name;grounder;kge;rule_miner;kge_atom_embedding_size;facts_file;train_file;valid_file;test_file;domain_file;rules_file;num_negatives;valid_negatives;test_negatives;ragged;format;engine_num_negatives;engine_num_adaptive_constants;constant_embedding_size;dropout_rate_embedder;kge_regularization;learning_rate;epochs;num_rules;loss;weight_loss;batch_size;val_batch_size;test_batch_size;cdcr_use_positional_embeddings;cdcr_num_formulas;valid_frequency;resnet;reasoner_depth;reasoner_regularization_factor;reasoner_formula_hidden_embedding_size;reasoner_dropout_rate;reasoner_atom_embedding_size;signed;temperature;aggregation_type;filter_num_heads;filter_activity_regularization;keys_signature;run_signature;seed_run_i;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3;time
[0, 1, 2, 3, 4];no_reasoner;countries_s1;backward_1;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;-1;-1;256;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_1-complex-no_reasoner-None-1-100;4;[0.075, 0.16];[0.075, 0.16];[0.075, 0.16];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.397, 0.049];[0.397, 0.049];[0.397, 0.049];[0.898, 0.011];[0.878, 0.016];[0.907, 0.009];[0.898, 0.011];[0.878, 0.016];[0.907, 0.009];[0.414, 0.133];[0.414, 0.133];[0.414, 0.133];[0.913, 0.024];[0.87, 0.034];[0.937, 0.024];[0.913, 0.024];[0.87, 0.034];[0.937, 0.024];[15.678, 0.959]
[0, 1, 2, 3, 4];sbr;countries_s1;backward_1;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;-1;-1;256;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_1-complex-sbr-None-1-100;4;[0.261, 0.254];[0.261, 0.255];[0.261, 0.253];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.359, 0.047];[0.351, 0.041];[0.367, 0.054];[0.867, 0.033];[0.839, 0.04];[0.875, 0.033];[0.892, 0.022];[0.851, 0.029];[0.917, 0.032];[0.327, 0.056];[0.35, 0.052];[0.304, 0.065];[0.904, 0.032];[0.848, 0.049];[0.948, 0.026];[0.98, 0.008];[0.966, 0.013];[0.994, 0.009];[16.591, 0.43]
[0, 1, 2, 3, 4];rnm;countries_s1;backward_1;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;-1;-1;256;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_1-complex-rnm-None-1-100;4;[0.046, 0.129];[0.045, 0.129];[0.046, 0.129];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.411, 0.039];[0.412, 0.04];[0.411, 0.039];[0.901, 0.013];[0.879, 0.014];[0.913, 0.015];[0.901, 0.013];[0.879, 0.014];[0.913, 0.015];[0.365, 0.076];[0.402, 0.094];[0.329, 0.06];[0.918, 0.024];[0.874, 0.035];[0.942, 0.023];[0.922, 0.025];[0.874, 0.035];[0.968, 0.024];[16.798, 0.326]
[0, 1, 2, 3, 4];dcr;countries_s1;backward_1;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;-1;-1;256;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_1-complex-dcr-None-1-100;4;[0.104, 0.195];[0.093, 0.187];[0.099, 0.184];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.379, 0.055];[0.358, 0.054];[0.384, 0.066];[0.869, 0.032];[0.839, 0.036];[0.881, 0.035];[0.897, 0.018];[0.86, 0.021];[0.924, 0.02];[0.306, 0.054];[0.331, 0.05];[0.265, 0.051];[0.91, 0.031];[0.858, 0.049];[0.946, 0.02];[0.989, 0.007];[0.98, 0.013];[0.998, 0.006];[21.873, 0.601]
[0, 1, 2, 3, 4];r2n;countries_s1;backward_1;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;-1;-1;256;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_1-complex-r2n-None-1-100;4;[0.329, 0.214];[0.353, 0.226];[0.305, 0.202];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.341, 0.04];[0.312, 0.039];[0.37, 0.05];[0.796, 0.047];[0.747, 0.057];[0.817, 0.049];[0.911, 0.019];[0.867, 0.037];[0.935, 0.025];[0.33, 0.096];[0.373, 0.092];[0.286, 0.104];[0.893, 0.03];[0.832, 0.048];[0.936, 0.033];[0.973, 0.026];[0.964, 0.034];[0.966, 0.032];[17.67, 0.282]
[0, 1, 2, 3, 4];no_reasoner;countries_s1;backward_2;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;-1;-1;256;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_2-complex-no_reasoner-None-1-100;4;[0.047, 0.129];[0.047, 0.129];[0.047, 0.129];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.405, 0.052];[0.405, 0.052];[0.405, 0.052];[0.9, 0.012];[0.879, 0.014];[0.912, 0.014];[0.9, 0.012];[0.879, 0.014];[0.912, 0.014];[0.419, 0.13];[0.419, 0.13];[0.419, 0.13];[0.918, 0.024];[0.874, 0.035];[0.942, 0.023];[0.918, 0.024];[0.874, 0.035];[0.942, 0.023];[15.97, 0.473]
[0, 1, 2, 3, 4];sbr;countries_s1;backward_2;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;-1;-1;256;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_2-complex-sbr-None-1-100;4;[0.199, 0.242];[0.199, 0.243];[0.199, 0.241];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.361, 0.042];[0.351, 0.036];[0.37, 0.048];[0.864, 0.03];[0.834, 0.034];[0.88, 0.028];[0.891, 0.021];[0.846, 0.026];[0.927, 0.033];[0.315, 0.054];[0.341, 0.048];[0.288, 0.063];[0.904, 0.037];[0.844, 0.056];[0.948, 0.029];[0.982, 0.007];[0.966, 0.013];[0.998, 0.006];[16.985, 0.701]
[0, 1, 2, 3, 4];rnm;countries_s1;backward_2;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;-1;-1;256;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_2-complex-rnm-None-1-100;4;[0.031, 0.065];[0.031, 0.065];[0.032, 0.065];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.399, 0.059];[0.399, 0.059];[0.398, 0.058];[0.898, 0.013];[0.876, 0.012];[0.912, 0.02];[0.898, 0.013];[0.876, 0.012];[0.912, 0.02];[0.35, 0.07];[0.385, 0.089];[0.314, 0.053];[0.913, 0.026];[0.864, 0.036];[0.942, 0.024];[0.917, 0.025];[0.864, 0.036];[0.97, 0.02];[17.358, 0.791]
[0, 1, 2, 3, 4];dcr;countries_s1;backward_2;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;-1;-1;256;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_2-complex-dcr-None-1-100;4;[0.116, 0.153];[0.091, 0.149];[0.098, 0.145];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.368, 0.039];[0.337, 0.04];[0.354, 0.051];[0.887, 0.01];[0.862, 0.016];[0.906, 0.016];[0.899, 0.014];[0.861, 0.02];[0.926, 0.019];[0.307, 0.057];[0.314, 0.066];[0.255, 0.051];[0.918, 0.023];[0.872, 0.029];[0.952, 0.027];[0.988, 0.01];[0.976, 0.02];[1.0, 0.0];[22.649, 0.636]
[0, 1, 2, 3, 4];r2n;countries_s1;backward_2;complex;None;100;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;-1;-1;256;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_2-complex-r2n-None-1-100;4;[0.295, 0.154];[0.318, 0.164];[0.272, 0.144];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.403, 0.038];[0.307, 0.04];[0.499, 0.083];[0.812, 0.042];[0.765, 0.056];[0.834, 0.038];[0.858, 0.022];[0.803, 0.035];[0.901, 0.023];[0.324, 0.099];[0.364, 0.09];[0.285, 0.108];[0.891, 0.026];[0.828, 0.043];[0.936, 0.038];[0.958, 0.022];[0.946, 0.028];[0.95, 0.034];[18.441, 1.074]
