Assuming 9 as type relation
Loading files... 
  Starting train_umls.tsv
  Finished train_umls.tsv, still running: 0
Loaded 1959 facts in 32 ms using -4 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 16 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  prevents  ?b   => ?a  causes  ?b	0.027522936	0.230769231	0.272727273	3	13	11	-1
?b  process_of  ?a   => ?a  causes  ?b	0.027522936	0.025641026	0.214285714	3	117	14	-1
?a  treats  ?b   => ?a  causes  ?b	0.027522936	0.1875	0.272727273	3	16	11	-1
?a  complicates  ?b   => ?a  causes  ?b	0.055045872	0.083333333	0.109090909	6	72	55	-1
?b  affects  ?a   => ?a  causes  ?b	0.036697248	0.013605442	0.2	4	294	20	-1
?a  affects  ?b   => ?a  causes  ?b	0.128440367	0.047619048	0.12962963	14	294	108	-1
?a  part_of  ?b   => ?a  location_of  ?b	0.071428571	0.102564103	0.5	8	78	16	-2
?a  carries_out  ?b   => ?a  location_of  ?b	0.017857143	0.2	0.25	2	10	8	-2
?b  isa  ?a   => ?a  interacts_with  ?b	0.045454545	0.04137931	0.333333333	6	145	18	-1
?b  degree_of  ?a   => ?a  isa  ?b	0.013793103	0.133333333	0.142857143	2	15	14	-1
?a  precedes  ?b   => ?a  isa  ?b	0.013793103	0.117647059	0.133333333	2	17	15	-1
?a  degree_of  ?b   => ?a  isa  ?b	0.020689655	0.2	0.214285714	3	15	14	-1
?b  manifestation_of  ?a   => ?a  affects  ?b	0.027210884	0.126984127	0.131147541	8	63	61	-1
?b  produces  ?a   => ?a  affects  ?b	0.027210884	0.101265823	0.150943396	8	79	53	-1
?b  result_of  ?a   => ?a  affects  ?b	0.12585034	0.196808511	0.238709677	37	188	155	-1
?b  process_of  ?a   => ?a  affects  ?b	0.051020408	0.128205128	0.288461538	15	117	52	-1
