Assuming 9 as type relation
Loading files... 
  Starting train_pharmkgfull.tsv
  Finished train_pharmkgfull.tsv, still running: 0
Loaded 379794 facts in 1.58 s using 22 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 4 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  Mp  ?a   => ?a  J  ?b	0.013193636	0.095774648	0.114478114	34	355	297	-1
?b  X  ?a   => ?a  Te  ?b	0.051638324	0.08992416	0.121939275	249	2769	2042	-1
?a  D  ?b   => ?a  Te  ?b	0.032766487	0.082549634	0.113914924	158	1914	1387	-1
?b  An  ?a   => ?a  An  ?b	0.246049661	0.246049661	0.381118881	109	443	286	-2
?b  Iw  ?a   => ?a  Iw  ?b	0.144945698	0.144945698	0.295570698	347	2394	1174	-1
?b  B  ?a   => ?a  B  ?b	0.626847375	0.626847375	0.664356864	9204	14683	13854	-1
?a  J  ?b   => ?a  Sa  ?b	0.027215957	0.11331005	0.115005908	292	2577	2539	-1
?b  X  ?a   => ?a  P  ?b	0.028974369	0.272300469	0.282291277	754	2769	2671	-1
?a  U  ?b   => ?a  P  ?b	0.084617454	0.181040862	0.2033241	2202	12163	10830	-1
?b  ML  ?a   => ?a  P  ?b	0.225185413	0.191528304	0.203084387	5860	30596	28855	-1
?a  Te  ?b   => ?a  P  ?b	0.055758368	0.300912484	0.308395324	1451	4822	4705	-1
?a  D  ?b   => ?a  P  ?b	0.017715098	0.240856844	0.249729144	461	1914	1846	-1
?b  Q  ?a   => ?a  Rg  ?b	0.089123608	0.11921946	0.121540079	3122	26187	25687	-1
?b  Rg  ?a   => ?a  Rg  ?b	0.771367399	0.771367399	0.773885898	27021	35030	34916	-1
?b  Ra  ?a   => ?a  Rg  ?b	0.085555238	0.098443043	0.102440525	2997	30444	29256	-1
?b  B  ?a   => ?a  Rg  ?b	0.059977162	0.143090649	0.146390747	2101	14683	14352	-1
?a  E  ?b   => ?a  Rg  ?b	0.074022267	0.0849412	0.122415258	2593	30527	21182	-1
?a  Q  ?b   => ?a  Rg  ?b	0.084441907	0.112956811	0.115303656	2958	26187	25654	-1
?a  B  ?b   => ?a  Rg  ?b	0.053753925	0.128243547	0.137938613	1883	14683	13651	-1
?b  D  ?a   => ?a  ML  ?b	0.023205648	0.370950888	0.377057886	710	1914	1883	-2
?b  Te  ?a   => ?a  ML  ?b	0.047228396	0.299668187	0.304723745	1445	4822	4742	-2
?b  U  ?a   => ?a  ML  ?b	0.09550268	0.240236784	0.25892778	2922	12163	11285	-2
?b  P  ?a   => ?a  ML  ?b	0.191528304	0.225185413	0.229587839	5860	26023	25524	-2
?a  X  ?b   => ?a  ML  ?b	0.036115832	0.399061033	0.403726708	1105	2769	2737	-2
?b  I  ?a   => ?a  I  ?b	0.154568436	0.154568436	0.25671785	2140	13845	8336	-1
?b  Ra  ?a   => ?a  Ra  ?b	0.737255288	0.737255288	0.742032531	22445	30444	30248	-2
?b  X  ?a   => ?a  U  ?b	0.025733783	0.113037198	0.125702811	313	2769	2490	-1
?b  ML  ?a   => ?a  U  ?b	0.240236784	0.09550268	0.10864473	2922	30596	26895	-1
?a  Te  ?b   => ?a  U  ?b	0.049083285	0.123807549	0.132167368	597	4822	4517	-1
?a  D  ?b   => ?a  U  ?b	0.029762394	0.189132706	0.204404291	362	1914	1771	-1
?a  Pr  ?b   => ?a  T  ?b	0.041584158	0.240687679	0.241131843	1176	4886	4877	-1
?a  J  ?b   => ?a  T  ?b	0.023479491	0.25766395	0.258365759	664	2577	2570	-1
?a  Sa  ?b   => ?a  T  ?b	0.063472419	0.16730357	0.167961074	1795	10729	10687	-1
?a  C  ?b   => ?a  T  ?b	0.021004243	0.341575618	0.342165899	594	1739	1736	-1
?b  Q  ?a   => ?a  Q  ?b	0.786191622	0.786191622	0.790720897	20588	26187	26037	-1
?b  E  ?a   => ?a  E  ?b	0.47721689	0.47721689	0.516632385	14568	30527	28198	-1
?b  B  ?a   => ?a  E  ?b	0.050709208	0.105428046	0.12037325	1548	14683	12860	-1
?b  An  ?h  ?h  Mp  ?a   => ?a  J  ?b	0.01241754	0.096385542	0.119402985	32	332	268	-1
?a  Pr  ?b  ?a  Sa  ?b   => ?a  J  ?b	0.014745828	0.086956522	0.1	38	437	380	-1
?b  An  ?h  ?a  J  ?h   => ?a  J  ?b	0.311602639	0.336123901	0.336123901	803	2389	2389	-1
?b  As  ?h  ?a  J  ?h   => ?a  J  ?b	0.012805588	0.152073733	0.152073733	33	217	217	-1
?b  X  ?h  ?h  Z  ?a   => ?a  J  ?b	0.060923555	0.126104418	0.143378995	157	1245	1095	-1
?h  An  ?b  ?a  J  ?h   => ?a  J  ?b	0.313930927	0.241925837	0.241925837	809	3344	3344	-1
?h  As  ?b  ?a  J  ?h   => ?a  J  ?b	0.012805588	0.12992126	0.12992126	33	254	254	-1
