Task;Grounder;KGE;EmbedSize;WeightLoss_Task;Reasoner_depth;Model_name;Time;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_concept_hits@5@5;train_concept_hits@10@10;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;train_task_hits@5@5;train_task_hits@10@10;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_hits@10@10;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_hits@10@10;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_concept_hits@5@5;test_concept_hits@10@10;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3;test_task_hits@5@5;test_task_hits@10@10
train_S2_p;full;complex;100;0.5;1;no_reasoner;[15.85793604850769, 0.44710488935614345];[2.5769, 0.0001];[0.0121, 0.0003];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6053, 0.0064];[0.3311, 0.014];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.8985, 0.0177];[0.3947, 0.0355];[1.4023, 0.0];[0.8606, 0.0107];[0.798, 0.0133];[0.902, 0.0098];[0.944, 0.0185];[0.988, 0.0117];[0.6407, 0.0136];[0.548, 0.0194];[0.648, 0.016];[0.72, 0.0303];[0.948, 0.0194];[1.7424, 0.0285];[0.3998, 0.0569];[3.085, 0.0];[0.9111, 0.0274];[0.864, 0.0344];[0.948, 0.0431];[1.0, 0.0];[1.0, 0.0];[0.7321, 0.0418];[0.592, 0.05];[0.784, 0.0496];[1.0, 0.0];[1.0, 0.0]
train_S2_p;domain_body;complex;100;0.5;1;no_reasoner;[15.791702508926392, 0.46663563018668985];[2.5769, 0.0001];[0.0122, 0.0002];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6053, 0.0064];[0.3311, 0.014];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9019, 0.003];[0.4015, 0.0061];[1.4023, 0.0];[0.8647, 0.0208];[0.798, 0.0271];[0.912, 0.0194];[0.934, 0.0136];[0.992, 0.0075];[0.6407, 0.0136];[0.548, 0.0194];[0.648, 0.016];[0.72, 0.0303];[0.948, 0.0194];[1.7535, 0.0339];[0.422, 0.0679];[3.085, 0.0];[0.9147, 0.0197];[0.872, 0.0271];[0.94, 0.0335];[1.0, 0.0];[1.0, 0.0];[0.7321, 0.0418];[0.592, 0.05];[0.784, 0.0496];[1.0, 0.0];[1.0, 0.0]
train_S2_p;domainbody;complex;100;0.5;1;no_reasoner;[15.89571762084961, 0.38650479490384226];[2.5769, 0.0001];[0.0121, 0.0003];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6053, 0.0064];[0.3311, 0.014];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.8985, 0.0177];[0.3947, 0.0355];[1.4023, 0.0];[0.8606, 0.0107];[0.798, 0.0133];[0.902, 0.0098];[0.944, 0.0185];[0.988, 0.0117];[0.6407, 0.0136];[0.548, 0.0194];[0.648, 0.016];[0.72, 0.0303];[0.948, 0.0194];[1.7424, 0.0285];[0.3998, 0.0569];[3.085, 0.0];[0.9111, 0.0274];[0.864, 0.0344];[0.948, 0.0431];[1.0, 0.0];[1.0, 0.0];[0.7321, 0.0418];[0.592, 0.05];[0.784, 0.0496];[1.0, 0.0];[1.0, 0.0]
train_S2_p;domainbody;complex;100;0.5;1;dcr;[1353.1969115257264, 18.50974006031356];[0.0227, 0.0002];[0.012, 0.0002];[0.0152, 0.0005];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4143, 0.0211];[0.406, 0.0219];[0.4043, 0.0203];[0.8599, 0.0136];[0.792, 0.0194];[0.908, 0.0232];[0.956, 0.0242];[0.994, 0.008];[0.8599, 0.013];[0.792, 0.0194];[0.908, 0.0232];[0.954, 0.0242];[0.996, 0.0049];[0.4089, 0.049];[0.4075, 0.0565];[0.3922, 0.0418];[0.8987, 0.0219];[0.84, 0.0358];[0.94, 0.0379];[1.0, 0.0];[1.0, 0.0];[0.898, 0.0214];[0.84, 0.0358];[0.936, 0.0388];[1.0, 0.0];[1.0, 0.0]
train_S2_p;domainbody;complex;100;0.5;1;r2n;[1622.3116897583009, 12.689880159592555];[0.0133, 0.0002];[0.012, 0.0002];[0.0146, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3828, 0.0239];[0.3829, 0.0239];[0.3826, 0.0239];[0.8625, 0.0131];[0.796, 0.0174];[0.92, 0.0126];[0.954, 0.0224];[0.994, 0.008];[0.8624, 0.013];[0.796, 0.0174];[0.92, 0.0126];[0.952, 0.0232];[0.996, 0.0049];[0.3774, 0.07];[0.3813, 0.0741];[0.3736, 0.0661];[0.9114, 0.0263];[0.864, 0.032];[0.94, 0.0379];[1.0, 0.0];[1.0, 0.0];[0.9107, 0.0268];[0.864, 0.032];[0.936, 0.0408];[1.0, 0.0];[1.0, 0.0]
train_S2_p;domainbody;complex;100;0.5;1;sbr;[178.66913290023803, 0.9003551920276043];[0.0151, 0.002];[0.0131, 0.0014];[0.0172, 0.0026];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.2807, 0.0177];[0.2638, 0.0196];[0.2976, 0.0167];[0.885, 0.0131];[0.832, 0.0248];[0.926, 0.0224];[0.95, 0.0303];[0.994, 0.008];[0.8862, 0.0096];[0.832, 0.0214];[0.928, 0.0232];[0.954, 0.032];[0.994, 0.008];[0.3516, 0.0452];[0.3349, 0.0528];[0.3684, 0.0414];[0.9221, 0.0185];[0.884, 0.0233];[0.94, 0.0358];[1.0, 0.0];[1.0, 0.0];[0.9339, 0.0128];[0.904, 0.015];[0.948, 0.0271];[1.0, 0.0];[1.0, 0.0]
train_S2_p;domainbody;complex;100;0.5;1;rnm;[178.78744187355042, 2.8121707407118794];[0.0123, 0.0002];[0.012, 0.0002];[0.0126, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3653, 0.0254];[0.3655, 0.0258];[0.3652, 0.0251];[0.8562, 0.0183];[0.788, 0.0256];[0.912, 0.0183];[0.948, 0.0286];[0.994, 0.008];[0.8565, 0.0183];[0.788, 0.0256];[0.912, 0.0183];[0.95, 0.0303];[0.998, 0.004];[0.3844, 0.0634];[0.3893, 0.0685];[0.3796, 0.0584];[0.9031, 0.0274];[0.852, 0.0412];[0.936, 0.0344];[1.0, 0.0];[1.0, 0.0];[0.9033, 0.0273];[0.852, 0.0412];[0.936, 0.0344];[1.0, 0.0];[1.0, 0.0]
train_S2_p;domainbody;complex;100;0.5;1;gsbr;[335.9888045310974, 1.1624254204342426];[0.0121, 0.0003];[0.012, 0.0002];[0.0122, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3643, 0.0235];[0.3644, 0.0236];[0.3642, 0.0235];[0.8647, 0.0204];[0.798, 0.0343];[0.912, 0.0098];[0.958, 0.0232];[0.994, 0.008];[0.8647, 0.0204];[0.798, 0.0343];[0.912, 0.0098];[0.958, 0.0232];[0.994, 0.008];[0.3739, 0.0553];[0.3744, 0.0557];[0.3734, 0.055];[0.9071, 0.0244];[0.86, 0.0335];[0.944, 0.0427];[1.0, 0.0];[1.0, 0.0];[0.9069, 0.0246];[0.86, 0.0335];[0.944, 0.0427];[1.0, 0.0];[1.0, 0.0]
train_S2_p;domainbody;complex;100;0.5;1;cdcr;[2642.5277766227723, 111.16138669764177];[0.0368, 0.0192];[0.0224, 0.0126];[0.0367, 0.0259];[0.9998, 0.0004];[0.9996, 0.0008];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9998, 0.0004];[0.9996, 0.0008];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3934, 0.1076];[0.3695, 0.1072];[0.4029, 0.1082];[0.8622, 0.033];[0.802, 0.0553];[0.9, 0.0179];[0.938, 0.0098];[0.994, 0.008];[0.865, 0.0334];[0.806, 0.0568];[0.908, 0.0194];[0.938, 0.0133];[0.994, 0.008];[0.3986, 0.0152];[0.3717, 0.0209];[0.4111, 0.0201];[0.9044, 0.0175];[0.848, 0.0204];[0.944, 0.0388];[1.0, 0.0];[1.0, 0.0];[0.9195, 0.0133];[0.876, 0.0196];[0.944, 0.0233];[1.0, 0.0];[1.0, 0.0]
train_S2_p;domainbody;distmult;100;0.5;1;no_reasoner;[13.959858560562134, 0.839131328854606];[2.577, 0.0003];[0.0123, 0.0006];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6053, 0.0064];[0.3311, 0.014];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.861, 0.0147];[0.3198, 0.0294];[1.4023, 0.0];[0.8746, 0.0135];[0.82, 0.019];[0.912, 0.0133];[0.948, 0.0172];[0.992, 0.0098];[0.6407, 0.0136];[0.548, 0.0194];[0.648, 0.016];[0.72, 0.0303];[0.948, 0.0194];[1.7087, 0.0277];[0.3323, 0.0555];[3.085, 0.0];[0.9096, 0.019];[0.86, 0.0335];[0.948, 0.0371];[1.0, 0.0];[1.0, 0.0];[0.7321, 0.0418];[0.592, 0.05];[0.784, 0.0496];[1.0, 0.0];[1.0, 0.0]
