Task;Grounder;KGE;EmbedSize;WeightLoss_Task;Reasoner_depth;Model_name;Time;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_concept_hits@5@5;train_concept_hits@10@10;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;train_task_hits@5@5;train_task_hits@10@10;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_hits@10@10;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_hits@10@10;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_concept_hits@5@5;test_concept_hits@10@10;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3;test_task_hits@5@5;test_task_hits@10@10
train_S1_p_no_neighbor;domain;complex;100;0.5;1;dcr;[26.635563707351686, 1.0217642228662536];[0.0234, 0.001];[0.0121, 0.0008];[0.0183, 0.0022];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4442, 0.0528];[0.4372, 0.0533];[0.4348, 0.0522];[0.9182, 0.0225];[0.878, 0.0366];[0.95, 0.0141];[0.964, 0.0162];[0.994, 0.008];[0.9182, 0.0226];[0.878, 0.0366];[0.95, 0.0141];[0.968, 0.0194];[0.99, 0.0089];[0.4594, 0.0728];[0.4656, 0.0798];[0.437, 0.066];[0.9076, 0.0274];[0.86, 0.0358];[0.936, 0.032];[1.0, 0.0];[1.0, 0.0];[0.9082, 0.0273];[0.86, 0.0358];[0.936, 0.032];[1.0, 0.0];[1.0, 0.0]
train_S1_p_no_neighbor;domain;complex;100;0.5;1;r2n;[28.608503818511963, 0.612957713249054];[0.0135, 0.0007];[0.0121, 0.0008];[0.0149, 0.0006];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4101, 0.051];[0.4101, 0.0512];[0.41, 0.0507];[0.9301, 0.0121];[0.896, 0.015];[0.952, 0.0117];[0.966, 0.0102];[0.994, 0.008];[0.93, 0.0122];[0.896, 0.015];[0.952, 0.0117];[0.966, 0.0102];[0.992, 0.0075];[0.436, 0.0831];[0.4392, 0.0862];[0.4327, 0.0801];[0.9141, 0.024];[0.872, 0.0325];[0.94, 0.0253];[1.0, 0.0];[1.0, 0.0];[0.9145, 0.0237];[0.872, 0.0325];[0.94, 0.0253];[1.0, 0.0];[1.0, 0.0]
train_S1_p_no_neighbor;domain;complex;100;0.5;1;sbr;[19.24481921195984, 0.35983353439811294];[0.0233, 0.0015];[0.0159, 0.0014];[0.0306, 0.0022];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.2235, 0.0294];[0.2158, 0.0306];[0.2313, 0.0284];[0.9515, 0.0103];[0.936, 0.0136];[0.958, 0.0117];[0.968, 0.0098];[0.994, 0.008];[0.9632, 0.0113];[0.94, 0.0167];[0.986, 0.0102];[0.99, 0.0063];[1.0, 0.0];[0.2899, 0.0481];[0.3128, 0.0668];[0.2671, 0.039];[0.9288, 0.0247];[0.9, 0.0335];[0.94, 0.0253];[1.0, 0.0];[1.0, 0.0];[0.9533, 0.0207];[0.924, 0.0344];[0.988, 0.016];[1.0, 0.0];[1.0, 0.0]
train_S1_p_no_neighbor;domain;complex;100;0.5;1;rnm;[19.387516355514528, 0.3707210398253942];[0.0142, 0.0009];[0.0121, 0.0008];[0.0162, 0.001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3758, 0.0367];[0.3828, 0.0392];[0.3688, 0.0343];[0.9265, 0.0109];[0.888, 0.0172];[0.954, 0.015];[0.964, 0.0136];[0.994, 0.008];[0.928, 0.0107];[0.888, 0.0172];[0.954, 0.015];[0.972, 0.0172];[1.0, 0.0];[0.379, 0.0551];[0.4173, 0.0729];[0.3407, 0.0379];[0.9139, 0.0168];[0.872, 0.0204];[0.94, 0.0253];[1.0, 0.0];[1.0, 0.0];[0.9169, 0.0161];[0.872, 0.0204];[0.952, 0.0271];[1.0, 0.0];[1.0, 0.0]
train_S1_p_no_neighbor;domain;complex;100;0.5;1;gsbr;[20.168084478378297, 0.5544229949278355];[0.0124, 0.0009];[0.0121, 0.0008];[0.0127, 0.001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.384, 0.0465];[0.3843, 0.0466];[0.3837, 0.0463];[0.933, 0.0123];[0.902, 0.0204];[0.954, 0.0136];[0.964, 0.012];[0.994, 0.008];[0.933, 0.0123];[0.902, 0.0204];[0.954, 0.0136];[0.964, 0.012];[0.996, 0.008];[0.4156, 0.0775];[0.4179, 0.0783];[0.4134, 0.0766];[0.9146, 0.0234];[0.872, 0.0325];[0.94, 0.0253];[1.0, 0.0];[1.0, 0.0];[0.915, 0.023];[0.872, 0.0325];[0.94, 0.0253];[1.0, 0.0];[1.0, 0.0]
train_S1_p_no_neighbor;domain;complex;100;0.5;1;cdcr;[38.58087239265442, 0.7774352776581859];[0.0718, 0.0351];[0.038, 0.0189];[0.0939, 0.0524];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4188, 0.1658];[0.3996, 0.1617];[0.4263, 0.169];[0.93, 0.0153];[0.896, 0.028];[0.952, 0.0133];[0.962, 0.0075];[0.994, 0.008];[0.9329, 0.0202];[0.896, 0.0294];[0.96, 0.0179];[0.972, 0.0214];[0.998, 0.004];[0.3851, 0.104];[0.3875, 0.1022];[0.3708, 0.1088];[0.9169, 0.0246];[0.88, 0.0335];[0.936, 0.032];[1.0, 0.0];[1.0, 0.0];[0.9269, 0.0314];[0.888, 0.0431];[0.956, 0.0294];[1.0, 0.0];[1.0, 0.0]
train_S1_p_no_neighbor;domain;complex;100;0.5;1;no_reasoner;[18.7122896194458, 0.771129169926778];[2.5767, 0.0002];[0.0118, 0.0003];[5.1417, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6113, 0.0099];[0.3225, 0.0238];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9191, 0.022];[0.4359, 0.0441];[1.4023, 0.0];[0.9159, 0.0233];[0.874, 0.0338];[0.95, 0.0167];[0.962, 0.016];[0.99, 0.0063];[0.6407, 0.0136];[0.548, 0.0194];[0.648, 0.016];[0.72, 0.0303];[0.948, 0.0194];[1.7672, 0.0398];[0.4495, 0.0796];[3.085, 0.0];[0.9258, 0.0155];[0.892, 0.0204];[0.936, 0.0233];[1.0, 0.0];[1.0, 0.0];[0.7321, 0.0418];[0.592, 0.05];[0.784, 0.0496];[1.0, 0.0];[1.0, 0.0]
train_S1_p_no_neighbor;domain;distmult;100;0.5;1;dcr;[23.530858325958253, 0.15884975148406622];[0.0252, 0.0014];[0.0122, 0.0008];[0.0221, 0.002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4026, 0.0338];[0.3962, 0.0348];[0.3929, 0.0327];[0.934, 0.019];[0.904, 0.0307];[0.96, 0.011];[0.966, 0.0102];[0.992, 0.0098];[0.934, 0.0191];[0.904, 0.0307];[0.96, 0.011];[0.968, 0.0117];[0.996, 0.0049];[0.4079, 0.0688];[0.4148, 0.0748];[0.385, 0.0632];[0.9173, 0.0181];[0.88, 0.0219];[0.932, 0.0204];[1.0, 0.0];[1.0, 0.0];[0.9185, 0.0175];[0.88, 0.0219];[0.94, 0.0219];[1.0, 0.0];[1.0, 0.0]
train_S1_p_no_neighbor;domain;distmult;100;0.5;1;r2n;[25.679048919677733, 0.3100430975967526];[0.0135, 0.0007];[0.0122, 0.0008];[0.0149, 0.0006];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3932, 0.0403];[0.3933, 0.0406];[0.3931, 0.04];[0.9296, 0.0132];[0.894, 0.0185];[0.956, 0.0102];[0.964, 0.0102];[0.992, 0.0098];[0.9296, 0.0132];[0.894, 0.0185];[0.956, 0.0102];[0.964, 0.0102];[0.992, 0.0075];[0.4206, 0.0664];[0.4239, 0.0695];[0.4173, 0.0634];[0.9179, 0.0228];[0.88, 0.0358];[0.932, 0.0204];[1.0, 0.0];[1.0, 0.0];[0.9183, 0.0227];[0.88, 0.0358];[0.932, 0.0204];[1.0, 0.0];[1.0, 0.0]
train_S1_p_no_neighbor;domain;distmult;100;0.5;1;sbr;[16.320182752609252, 0.8726681869502775];[0.026, 0.0026];[0.0172, 0.0026];[0.0349, 0.0029];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.2075, 0.0278];[0.1972, 0.0304];[0.2178, 0.0259];[0.9498, 0.0109];[0.93, 0.0141];[0.962, 0.0133];[0.97, 0.0141];[0.994, 0.008];[0.9621, 0.0081];[0.942, 0.0075];[0.976, 0.0102];[0.996, 0.008];[1.0, 0.0];[0.2664, 0.049];[0.276, 0.0724];[0.2568, 0.0288];[0.926, 0.0258];[0.888, 0.0371];[0.944, 0.0233];[1.0, 0.0];[1.0, 0.0];[0.9528, 0.0179];[0.92, 0.0283];[0.988, 0.0098];[1.0, 0.0];[1.0, 0.0]
