epoch;concept_hits@1@1;concept_hits@3@3;concept_loss;concept_mrr;loss;task_hits@1@1;task_hits@3@3;task_loss;task_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@1@1;val_task_hits@3@3;val_task_loss;val_task_mrr
0;0.32349246740341187;1.0;0.7339758276939392;0.6056323647499084;1.6347148418426514;0.32349246740341187;1.0;0.735453724861145;0.6054230332374573;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;0.3341708481311798;1.0;0.7305804491043091;0.6135888695716858;1.6256431341171265;0.3341708481311798;1.0;0.7326797246932983;0.612960696220398;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;0.3203517496585846;1.0;0.7372044920921326;0.6075168251991272;1.626423954963684;0.31972360610961914;1.0;0.7395515441894531;0.6075168251991272;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;0.3146984875202179;1.0;0.7354180216789246;0.5998744368553162;1.6187138557434082;0.31407034397125244;1.0;0.7378111481666565;0.5992463231086731;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;0.3310301601886749;1.0;0.7439405918121338;0.6104481220245361;1.6207389831542969;0.3285175859928131;1.0;0.7451906204223633;0.6088778376579285;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;0.33228641748428345;1.0;0.7401862144470215;0.610238790512085;1.611763596534729;0.3310301601886749;1.0;0.742803156375885;0.6101341247558594;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;0.3498743772506714;1.0;0.7363483905792236;0.6178811192512512;1.601356029510498;0.34924623370170593;1.0;0.7375906109809875;0.6171483397483826;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;0.3329145610332489;1.0;0.7320101261138916;0.6161013841629028;1.5916998386383057;0.329773873090744;1.0;0.7343377470970154;0.6143216490745544;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;0.3329145610332489;1.0;0.7382961511611938;0.610238790512085;1.591373324394226;0.3316583037376404;1.0;0.7390751838684082;0.610238790512085;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;0.33479899168014526;1.0;0.7300867438316345;0.6115997433662415;1.5783907175064087;0.33354270458221436;1.0;0.7329497337341309;0.6109716296195984;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;0.3511306643486023;1.0;0.7351325154304504;0.6171483397483826;1.5763905048370361;0.3498743772506714;1.0;0.7354889512062073;0.6166248917579651;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;0.3498743772506714;1.0;0.7235722541809082;0.6232203841209412;1.5593452453613281;0.34736180305480957;1.0;0.7244968414306641;0.6219640374183655;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;0.3398241102695465;1.0;0.7287448644638062;0.6144263744354248;1.5590200424194336;0.3398241102695465;1.0;0.730164110660553;0.6146357655525208;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;0.3454773724079132;1.0;0.7318023443222046;0.6186140179634094;1.5558600425720215;0.3467336595058441;1.0;0.7322295904159546;0.6198703050613403;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;0.33479899168014526;1.0;0.7341504693031311;0.610866904258728;1.552828073501587;0.3329145610332489;1.0;0.7352120280265808;0.6096106171607971;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;0.3486180901527405;1.0;0.7270567417144775;0.6213359236717224;1.5399478673934937;0.3511306643486023;1.0;0.7278910875320435;0.6231156587600708;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;0.36620602011680603;1.0;0.7215031981468201;0.6315955519676208;1.5300792455673218;0.36306533217430115;1.0;0.7250041365623474;0.6302345991134644;NA;NA;NA;NA;NA;NA;NA;NA;NA
17;0.3680904507637024;1.0;0.7091389298439026;0.6353644132614136;1.512319564819336;0.3655778765678406;1.0;0.7130952477455139;0.6341081261634827;NA;NA;NA;NA;NA;NA;NA;NA;NA
18;0.3706030249595642;1.0;0.7163139581680298;0.6354690790176392;1.5128703117370605;0.3706030249595642;1.0;0.7182184457778931;0.6351550221443176;NA;NA;NA;NA;NA;NA;NA;NA;NA
19;0.3907035291194916;1.0;0.7014974355697632;0.6484506726264954;1.4918999671936035;0.39258792996406555;1.0;0.7022405862808228;0.6494975686073303;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;0.3850502371788025;1.0;0.7108697295188904;0.6452053189277649;1.495432734489441;0.3844221234321594;1.0;0.7110288739204407;0.6451005935668945;NA;NA;NA;NA;NA;NA;NA;NA;NA
21;0.40075376629829407;1.0;0.6924883723258972;0.655150830745697;1.4719266891479492;0.4001256227493286;1.0;0.6934423446655273;0.6557788848876953;NA;NA;NA;NA;NA;NA;NA;NA;NA
22;0.4070351719856262;1.0;0.6941372156143188;0.661641538143158;1.468345046043396;0.4070351719856262;1.0;0.6956220269203186;0.6613274812698364;NA;NA;NA;NA;NA;NA;NA;NA;NA
23;0.4195979833602905;1.0;0.6855003833770752;0.6689698696136475;1.4550164937973022;0.4189698398113251;1.0;0.6885422468185425;0.6681323647499084;NA;NA;NA;NA;NA;NA;NA;NA;NA
24;0.4283919632434845;1.0;0.6830741167068481;0.672633945941925;1.447339653968811;0.4258793890476227;1.0;0.6865031719207764;0.6713776588439941;NA;NA;NA;NA;NA;NA;NA;NA;NA
25;0.45414572954177856;1.0;0.6606786251068115;0.6914782524108887;1.420861005783081;0.45414572954177856;1.0;0.6667769551277161;0.6906406879425049;NA;NA;NA;NA;NA;NA;NA;NA;NA
26;0.46984925866127014;1.0;0.657202959060669;0.6985971927642822;1.4106841087341309;0.46859297156333923;1.0;0.660681962966919;0.6976549029350281;NA;NA;NA;NA;NA;NA;NA;NA;NA
27;0.4918341636657715;1.0;0.6394315958023071;0.7145100235939026;1.3882801532745361;0.4842964708805084;1.0;0.6443752646446228;0.7095896005630493;NA;NA;NA;NA;NA;NA;NA;NA;NA
28;0.5276381969451904;1.0;0.6275840401649475;0.7350292801856995;1.3711985349655151;0.5207286477088928;1.0;0.6327370405197144;0.7308416962623596;NA;NA;NA;NA;NA;NA;NA;NA;NA
29;0.5157034993171692;1.0;0.6245375871658325;0.730004072189331;1.3631510734558105;0.5138190984725952;1.0;0.6303121447563171;0.7288525700569153;NA;NA;NA;NA;NA;NA;NA;NA;NA
30;0.5370603203773499;1.0;0.6111886501312256;0.74152010679245;1.3445494174957275;0.5370603203773499;1.0;0.6170287728309631;0.7414153814315796;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;0.5847989916801453;1.0;0.5892216563224792;0.7688442468643188;1.3184044361114502;0.5829145908355713;1.0;0.5972223281860352;0.7676926851272583;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;0.6118090748786926;1.0;0.5698326826095581;0.785804033279419;1.2928342819213867;0.6149497628211975;1.0;0.575934112071991;0.7885259389877319;NA;NA;NA;NA;NA;NA;NA;NA;NA
33;0.6494975090026855;1.0;0.5611326694488525;0.8085217475891113;1.2798469066619873;0.6494975090026855;1.0;0.5690688490867615;0.8091498613357544;NA;NA;NA;NA;NA;NA;NA;NA;NA
