epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.3241206109523773;1.0;1.0;0.7343723773956299;0.6063652038574219;0.7320047616958618;1.0;0.35741207003593445;1.0;1.0;0.7296372056007385;0.628454864025116;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.33354270458221436;1.0;1.0;0.7325664758682251;0.6126466393470764;0.7246444225311279;1.0;0.4070351719856262;1.0;1.0;0.7167223691940308;0.6583961844444275;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.3272612988948822;1.0;1.0;0.7357750535011292;0.611704409122467;0.721506655216217;1.0;0.44472360610961914;1.0;1.0;0.7072381377220154;0.6821607947349548;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.33605527877807617;1.0;1.0;0.7346328496932983;0.6176717281341553;0.7157964110374451;1.0;0.48680904507637024;1.0;1.0;0.6969598531723022;0.7042503952980042;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.3366834223270416;1.0;1.0;0.7295042276382446;0.6148450970649719;0.7068021893501282;1.0;0.481783926486969;1.0;1.0;0.6841002702713013;0.6993299126625061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.3442211151123047;1.0;1.0;0.730395495891571;0.6190327405929565;0.7055128216743469;1.0;0.48366832733154297;1.0;1.0;0.6806301474571228;0.7007957100868225;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.33793970942497253;1.0;1.0;0.7349355220794678;0.6141123175621033;0.7094434499740601;1.0;0.48806533217430115;1.0;1.0;0.6839513778686523;0.699958086013794;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.34484925866127014;1.0;1.0;0.7393323183059692;0.6169390082359314;0.7125813961029053;1.0;0.49811556935310364;1.0;1.0;0.6858305335044861;0.7056114077568054;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.34359297156333923;1.0;1.0;0.7405727505683899;0.6151592135429382;0.7128211259841919;1.0;0.5012562870979309;1.0;1.0;0.6850695013999939;0.7074958086013794;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.3228643238544464;1.0;1.0;0.737608015537262;0.6018635630607605;0.7090062499046326;1.0;0.4805276393890381;1.0;1.0;0.6804044842720032;0.6949329972267151;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0;1.0;0.3329145610332489;1.0;1.0;0.7359037399291992;0.6106575727462769;0.7343084216117859;1.0;0.3706030249595642;1.0;1.0;0.7327131032943726;0.635050356388092;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.3310301601886749;1.0;1.0;0.7321925163269043;0.612751305103302;0.7245019674301147;1.0;0.40389448404312134;1.0;1.0;0.7168113589286804;0.658082127571106;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.34736180305480957;1.0;1.0;0.728291392326355;0.6209171414375305;0.7159951329231262;1.0;0.44597989320755005;1.0;1.0;0.7036988735198975;0.6793341636657715;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.3304020166397095;1.0;1.0;0.7327932715415955;0.6100293397903442;0.7143832445144653;1.0;0.47550252079963684;1.0;1.0;0.6959731578826904;0.6952469944953918;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.31092965602874756;1.0;1.0;0.7474574446678162;0.5980947017669678;0.7253892421722412;1.0;0.46293970942497253;1.0;1.0;0.7033209800720215;0.6870812773704529;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.33228641748428345;1.0;1.0;0.7346817255020142;0.608144998550415;0.7082865238189697;1.0;0.4842964708805084;1.0;1.0;0.6818913817405701;0.6980736255645752;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
