Task;Grounder;KGE;Rule_Miner;EmbedSize;WeightLoss_Task;Reasoner_depth;Model_name;Time;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3
kinship_family_small_reason_2np;backward_1;complex;amie;100;0.5;1;no_reasoner;[33.03884434700012, 0.48735569685912705];[2.5768, 0.0];[0.012, 0.0];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6071, 0.0028];[0.3372, 0.0059];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2278, 0.0003];[0.45, 0.0006];[0.0056, 0.0];[0.5052, 0.0028];[0.5005, 0.0009];[0.5037, 0.0042];[0.5016, 0.0006];[0.5, 0.0];[0.5005, 0.0009]
kinship_family_small_reason_2np;backward_1;complex;amie;100;0.5;1;sbr;[133.5884503364563, 2.1291250315437247];[0.0123, 0.0001];[0.0123, 0.0001];[0.0124, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9999, 0.0];[0.9999, 0.0001];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.468, 0.0004];[0.4587, 0.0004];[0.4774, 0.0005];[0.5278, 0.0017];[0.5169, 0.0031];[0.5297, 0.0032];[0.5578, 0.0045];[0.5256, 0.0037];[0.5607, 0.0074]
kinship_family_small_reason_2np;backward_1;complex;amie;100;0.5;1;rnm;[155.13956093788147, 1.3118882768670563];[0.0122, 0.0001];[0.012, 0.0];[0.0124, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4597, 0.0004];[0.4594, 0.0004];[0.4599, 0.0004];[0.5098, 0.0026];[0.5041, 0.0017];[0.5087, 0.0039];[0.5098, 0.0026];[0.5041, 0.0017];[0.5087, 0.0039]
kinship_family_small_reason_2np;backward_1;complex;amie;100;0.5;1;dcr;[526.0393500328064, 6.298831267465409];[0.0748, 0.0048];[0.0162, 0.0008];[0.0124, 0.0003];[1.0, 0.0];[1.0, 0.0001];[1.0, 0.0];[0.9999, 0.0001];[0.9999, 0.0001];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.8143, 0.0621];[0.4554, 0.0045];[0.482, 0.0136];[0.518, 0.0108];[0.511, 0.0076];[0.5183, 0.0128];[0.6194, 0.0085];[0.5849, 0.0104];[0.6443, 0.0107]
kinship_family_small_reason_2p;backward_prune_2;complex;amie;100;0.5;1;no_reasoner;[33.472755098342894, 0.6826398568278035];[2.5768, 0.0];[0.0119, 0.0];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6071, 0.0028];[0.3372, 0.0059];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2278, 0.0002];[0.45, 0.0005];[0.0056, 0.0];[0.507, 0.003];[0.5023, 0.0025];[0.5055, 0.0023];[0.5016, 0.0006];[0.5, 0.0];[0.5005, 0.0009]
kinship_family;backward_1;complex;amie;100;0.5;1;no_reasoner;[103.03982486724854, 0.9174967926923947];[2.5782, 0.0];[0.0148, 0.0001];[5.1417, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6106, 0.0021];[0.3339, 0.002];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2468, 0.0007];[0.4782, 0.0014];[0.0154, 0.0];[0.5749, 0.0036];[0.5307, 0.002];[0.577, 0.0042];[0.5038, 0.0002];[0.5005, 0.0002];[0.5018, 0.0002]
kinship_family;backward_1;complex;amie;100;0.5;1;rnm;[577.660820531845, 24.095995220155302];[0.0124, 0.0001];[0.012, 0.0];[0.0129, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5175, 0.001];[0.5174, 0.001];[0.5176, 0.001];[0.546, 0.0025];[0.5152, 0.0011];[0.5392, 0.0029];[0.546, 0.0025];[0.5152, 0.0011];[0.5392, 0.0029]
kinship_family;backward_1;complex;amie;100;0.5;1;dcr;[848.6928214073181, 26.07742840985089];[0.1238, 0.0122];[0.0281, 0.0029];[0.018, 0.0006];[0.9998, 0.0001];[0.9997, 0.0002];[1.0, 0.0];[0.9999, 0.0];[0.9999, 0.0001];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.8897, 0.0535];[0.4882, 0.0019];[0.4976, 0.0046];[0.5383, 0.0074];[0.5162, 0.0042];[0.5372, 0.0087];[0.8034, 0.0117];[0.7882, 0.0157];[0.8053, 0.01]
kinship_family_small_reason_2p;backward_prune_2;complex;amie;100;0.5;1;sbr;[551.5147414684295, 26.409179901957213];[0.0122, 0.0001];[0.0122, 0.0001];[0.0122, 0.0003];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0001];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4602, 0.0008];[0.4593, 0.0008];[0.461, 0.0008];[0.5131, 0.0053];[0.5059, 0.0037];[0.5114, 0.006];[0.5626, 0.0105];[0.5247, 0.008];[0.5548, 0.0132]
kinship_family_small_reason_2p;backward_prune_2;complex;amie;100;0.5;1;rnm;[574.2449772357941, 27.133396559292464];[0.0123, 0.0001];[0.012, 0.0];[0.0126, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4596, 0.0009];[0.4596, 0.0009];[0.4597, 0.0009];[0.5062, 0.0039];[0.5014, 0.0018];[0.5041, 0.0051];[0.5062, 0.0039];[0.5014, 0.0018];[0.5041, 0.0051]
kinship_family_small_reason_2np;backward_2;complex;amie;100;0.5;1;no_reasoner;[31.62240324020386, 0.219517881833275];[2.5768, 0.0];[0.012, 0.0001];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6071, 0.0028];[0.3372, 0.0059];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2278, 0.0004];[0.4499, 0.0009];[0.0056, 0.0];[0.5057, 0.0012];[0.5014, 0.0011];[0.5041, 0.0009];[0.5016, 0.0006];[0.5, 0.0];[0.5005, 0.0009]
