Task;Grounder;KGE;EmbedSize;WeightLoss_Task;Reasoner_depth;Model_name;Time;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3
pharmkg_supersmall;backward_1;complex;100;0.5;1;dcr;[208.37259182929992, 2.7886823904444635];[0.2807, 0.0029];[0.0153, 0.0014];[0.0943, 0.0035];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4451, 0.0112];[0.2151, 0.011];[0.2233, 0.0122];[0.6758, 0.0138];[0.5992, 0.017];[0.6903, 0.015];[0.6909, 0.0203];[0.6081, 0.0214];[0.7121, 0.0287]
pharmkg_supersmall;backward_1;complex;100;0.5;1;r2n;[100.21234698295594, 3.5581917913756964];[0.0173, 0.0012];[0.0127, 0.0001];[0.0218, 0.0025];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9996, 0.0004];[0.9992, 0.0008];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2127, 0.0091];[0.2119, 0.0092];[0.2136, 0.0092];[0.6713, 0.0153];[0.5952, 0.0211];[0.6911, 0.0119];[0.6696, 0.0129];[0.5927, 0.0177];[0.6887, 0.0123]
pharmkg_supersmall;backward_1;complex;100;0.5;1;gsbr;[80.2020495891571, 2.6547761693706917];[0.0124, 0.0001];[0.0125, 0.0001];[0.0123, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2255, 0.0087];[0.2256, 0.0086];[0.2254, 0.0089];[0.6623, 0.0104];[0.5847, 0.0161];[0.6806, 0.0109];[0.6636, 0.0105];[0.5871, 0.0154];[0.6806, 0.0118]
pharmkg_supersmall;backward_1;complex;100;0.5;1;cdcr;[292.6767447948456, 5.135831095435754];[0.3027, 0.0035];[0.0249, 0.0013];[0.1193, 0.0053];[0.9999, 0.0002];[0.9998, 0.0004];[1.0, 0.0];[0.9999, 0.0002];[0.9998, 0.0004];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4461, 0.01];[0.2058, 0.0096];[0.2251, 0.01];[0.6739, 0.0116];[0.5968, 0.0177];[0.6863, 0.0177];[0.687, 0.0091];[0.5968, 0.0111];[0.7177, 0.0196]
pharmkg_supersmall;backward_1;complex;100;0.5;1;no_reasoner;[30.824060583114623, 8.628661494313198];[2.577, 0.0001];[0.0123, 0.0001];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6062, 0.0084];[0.3457, 0.0139];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3685, 0.0045];[0.2228, 0.009];[0.5142, 0.0];[0.663, 0.0094];[0.5847, 0.0137];[0.6863, 0.0053];[0.5884, 0.0075];[0.5161, 0.0072];[0.5702, 0.0104]
pharmkg_supersmall;known;complex;100;0.5;1;dcr;[240.64396719932557, 5.024759669850119];[0.2353, 0.0001];[0.0122, 0.0001];[0.0122, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4455, 0.0102];[0.2225, 0.0102];[0.2224, 0.0102];[0.6657, 0.0129];[0.5895, 0.015];[0.6895, 0.0099];[0.6658, 0.0128];[0.5895, 0.015];[0.6895, 0.0099]
pharmkg_supersmall;known;complex;100;0.5;1;r2n;[104.66761527061462, 10.941081295439895];[0.0135, 0.0002];[0.0123, 0.0001];[0.0148, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.2192, 0.0084];[0.2213, 0.0089];[0.2171, 0.0079];[0.6657, 0.0137];[0.5903, 0.0162];[0.6863, 0.0112];[0.6664, 0.0132];[0.5919, 0.0164];[0.6847, 0.01]
pharmkg_supersmall;known;complex;100;0.5;1;gsbr;[84.80177540779114, 11.414383428717052];[0.0122, 0.0001];[0.0122, 0.0001];[0.0122, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.223, 0.0094];[0.223, 0.0094];[0.223, 0.0094];[0.6649, 0.0109];[0.5879, 0.0143];[0.6895, 0.0067];[0.6649, 0.0109];[0.5879, 0.0143];[0.6895, 0.0067]
pharmkg_supersmall;known;complex;100;0.5;1;cdcr;[330.8979754447937, 11.632837573054905];[0.2359, 0.0007];[0.0125, 0.0003];[0.0131, 0.0011];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.4453, 0.0097];[0.2226, 0.0098];[0.2219, 0.0096];[0.6654, 0.011];[0.5903, 0.0121];[0.6847, 0.01];[0.6667, 0.0106];[0.5911, 0.0119];[0.6871, 0.0107]
pharmkg_supersmall;known;complex;100;0.5;1;no_reasoner;[34.55238747596741, 15.569405080002232];[2.577, 0.0001];[0.0123, 0.0001];[5.1416, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6062, 0.0084];[0.3457, 0.0139];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.3685, 0.0045];[0.2228, 0.009];[0.5142, 0.0];[0.663, 0.0094];[0.5847, 0.0137];[0.6863, 0.0053];[0.5884, 0.0075];[0.5161, 0.0072];[0.5702, 0.0104]
