Task;Grounder;KGE;EmbedSize;WeightLoss_Task;Reasoner_depth;Model_name;Time;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_concept_hits@5@5;train_concept_hits@10@10;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;train_task_hits@5@5;train_task_hits@10@10;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_hits@10@10;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_hits@10@10;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_concept_hits@5@5;test_concept_hits@10@10;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3;test_task_hits@5@5;test_task_hits@10@10
train_S1_p;backward;complex;100;0.5;1;gsbr;[34.07955808639527, 4.450538973576372];[0.0121, 0.0];[0.0121, 0.0];[0.0121, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3735, 0.0291];[0.3735, 0.0291];[0.3735, 0.0291];[0.9364, 0.0121];[0.906, 0.0206];[0.958, 0.004];[0.97, 0.011];[0.996, 0.0049];[0.9364, 0.0121];[0.906, 0.0206];[0.958, 0.004];[0.97, 0.011];[0.996, 0.0049];[0.4024, 0.087];[0.4024, 0.087];[0.4024, 0.087];[0.9136, 0.0201];[0.872, 0.0349];[0.936, 0.0233];[1.0, 0.0];[1.0, 0.0];[0.9136, 0.0201];[0.872, 0.0349];[0.936, 0.0233];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;complex;100;0.5;1;cdcr;[49.27873778343201, 7.648726720778947];[0.0173, 0.0002];[0.0121, 0.0];[0.0139, 0.0005];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.396, 0.0271];[0.3933, 0.0277];[0.3901, 0.0265];[0.9322, 0.0155];[0.898, 0.0248];[0.962, 0.0075];[0.968, 0.0098];[0.996, 0.0049];[0.9319, 0.0152];[0.898, 0.0248];[0.962, 0.0075];[0.966, 0.0102];[0.986, 0.008];[0.4285, 0.0902];[0.4329, 0.0943];[0.4156, 0.0864];[0.9091, 0.0203];[0.864, 0.032];[0.932, 0.0204];[1.0, 0.0];[1.0, 0.0];[0.9089, 0.0206];[0.864, 0.032];[0.932, 0.0204];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;distmult;100;0.5;1;gsbr;[26.798964309692384, 4.506980306423951];[0.0121, 0.0001];[0.0121, 0.0001];[0.0121, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3, 0.041];[0.3, 0.041];[0.3, 0.041];[0.939, 0.0111];[0.91, 0.0155];[0.96, 0.011];[0.966, 0.0102];[0.994, 0.0049];[0.939, 0.0111];[0.91, 0.0155];[0.96, 0.011];[0.966, 0.0102];[0.994, 0.0049];[0.3472, 0.0871];[0.3472, 0.0871];[0.3472, 0.0871];[0.9057, 0.0082];[0.856, 0.015];[0.932, 0.0204];[1.0, 0.0];[1.0, 0.0];[0.9057, 0.0082];[0.856, 0.015];[0.932, 0.0204];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;distmult;100;0.5;1;cdcr;[39.36341805458069, 4.160832110456948];[0.0176, 0.0004];[0.0123, 0.0001];[0.0141, 0.0006];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3426, 0.0392];[0.3396, 0.0397];[0.3369, 0.0387];[0.9292, 0.0123];[0.892, 0.0204];[0.96, 0.011];[0.966, 0.0102];[0.994, 0.0049];[0.9291, 0.0127];[0.892, 0.0204];[0.96, 0.011];[0.964, 0.0102];[0.99, 0.011];[0.3752, 0.0954];[0.3795, 0.1001];[0.3621, 0.0908];[0.9049, 0.0091];[0.856, 0.015];[0.936, 0.0233];[1.0, 0.0];[1.0, 0.0];[0.9045, 0.0094];[0.856, 0.015];[0.936, 0.0233];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;transe;100;0.5;1;gsbr;[22.67375068664551, 0.5083325873323337];[1.5443, 0.0042];[1.5547, 0.004];[1.5338, 0.0048];[0.6025, 0.0036];[0.3213, 0.008];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6002, 0.0046];[0.3169, 0.0097];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4174, 0.0065];[0.4252, 0.0072];[0.4096, 0.0066];[0.6377, 0.0224];[0.542, 0.0256];[0.646, 0.0326];[0.724, 0.05];[0.958, 0.0172];[0.6365, 0.0265];[0.546, 0.0307];[0.638, 0.0325];[0.72, 0.0276];[0.95, 0.0283];[0.8958, 0.015];[0.9359, 0.0221];[0.8557, 0.0113];[0.7337, 0.0333];[0.616, 0.0496];[0.796, 0.0496];[1.0, 0.0];[1.0, 0.0];[0.7328, 0.0194];[0.6, 0.0283];[0.824, 0.0585];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;transe;100;0.5;1;cdcr;[37.72628064155579, 2.0176598176915452];[1.5243, 0.0912];[1.5547, 0.004];[1.485, 0.1833];[0.6025, 0.0036];[0.3213, 0.008];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.5993, 0.0099];[0.3178, 0.0193];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4903, 0.1858];[0.4252, 0.0072];[0.5466, 0.374];[0.6377, 0.0224];[0.542, 0.0256];[0.646, 0.0326];[0.724, 0.05];[0.958, 0.0172];[0.6284, 0.0133];[0.536, 0.0102];[0.63, 0.0261];[0.708, 0.0279];[0.93, 0.02];[0.8187, 0.3111];[0.9359, 0.0221];[0.6926, 0.6157];[0.7337, 0.0333];[0.616, 0.0496];[0.796, 0.0496];[1.0, 0.0];[1.0, 0.0];[0.7129, 0.0244];[0.576, 0.0233];[0.764, 0.0408];[1.0, 0.0];[1.0, 0.0]
train_S1_p;known;complex;100;0.5;1;gsbr;[32.42529001235962, 2.92634840529851];[0.012, 0.0001];[0.012, 0.0001];[0.0119, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3779, 0.0324];[0.3777, 0.0322];[0.3781, 0.0326];[0.9265, 0.0093];[0.888, 0.0133];[0.958, 0.0117];[0.972, 0.0133];[0.996, 0.0049];[0.9328, 0.0117];[0.896, 0.015];[0.964, 0.012];[0.972, 0.0133];[0.996, 0.0049];[0.399, 0.0932];[0.4022, 0.09];[0.3959, 0.0965];[0.9165, 0.0163];[0.872, 0.024];[0.944, 0.0294];[1.0, 0.0];[1.0, 0.0];[0.9251, 0.0246];[0.888, 0.0349];[0.944, 0.0294];[1.0, 0.0];[1.0, 0.0]
train_S1_p;known;complex;100;0.5;1;cdcr;[40.4980140209198, 3.496720357132442];[0.0163, 0.0014];[0.0123, 0.0006];[0.0131, 0.0022];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3575, 0.0285];[0.3556, 0.0284];[0.3523, 0.0287];[0.9321, 0.0102];[0.898, 0.016];[0.954, 0.0136];[0.972, 0.0133];[0.996, 0.0049];[0.9363, 0.0113];[0.904, 0.0206];[0.958, 0.0075];[0.976, 0.015];[0.996, 0.0049];[0.3796, 0.0778];[0.3906, 0.0898];[0.3613, 0.0745];[0.9188, 0.0109];[0.88, 0.0126];[0.94, 0.0283];[1.0, 0.0];[1.0, 0.0];[0.9239, 0.0126];[0.884, 0.015];[0.952, 0.0299];[1.0, 0.0];[1.0, 0.0]
train_S1_p;known;distmult;100;0.5;1;gsbr;[26.30916118621826, 3.9935783413613715];[0.0124, 0.0006];[0.0123, 0.0003];[0.0125, 0.0009];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3096, 0.0508];[0.3077, 0.0494];[0.3116, 0.0526];[0.9309, 0.0163];[0.896, 0.0301];[0.954, 0.0136];[0.97, 0.0141];[0.994, 0.008];[0.9445, 0.0225];[0.914, 0.0326];[0.966, 0.0174];[0.978, 0.0172];[0.998, 0.004];[0.3158, 0.0974];[0.3373, 0.083];[0.2943, 0.1131];[0.9097, 0.0114];[0.868, 0.0204];[0.924, 0.0196];[1.0, 0.0];[1.0, 0.0];[0.9523, 0.0249];[0.936, 0.0294];[0.948, 0.0349];[1.0, 0.0];[1.0, 0.0]
train_S1_p;known;distmult;100;0.5;1;cdcr;[28.630912208557127, 2.2557656260925065];[0.0164, 0.0014];[0.0123, 0.0006];[0.0131, 0.0022];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.2864, 0.0463];[0.2846, 0.047];[0.281, 0.0456];[0.9293, 0.0151];[0.894, 0.0273];[0.956, 0.015];[0.97, 0.0089];[0.994, 0.008];[0.9342, 0.0139];[0.9, 0.0268];[0.96, 0.0126];[0.976, 0.0102];[0.998, 0.004];[0.32, 0.0752];[0.3308, 0.0916];[0.302, 0.0654];[0.9087, 0.014];[0.86, 0.0179];[0.936, 0.0233];[1.0, 0.0];[1.0, 0.0];[0.9149, 0.0182];[0.868, 0.024];[0.948, 0.0271];[1.0, 0.0];[1.0, 0.0]
