Task;Grounder;KGE;Rule_Miner;EmbedSize;WeightLoss_Task;Reasoner_depth;Model_name;Time;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kinship_family;backward_1;complex;amie;100;0.5;1;no_reasoner;[107.50087018013001, 2.3056774273168146];[2.5768, 0.0];[0.012, 0.0];[5.1417, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.6106, 0.0021];[0.3339, 0.002];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.267, 0.0004];[0.5186, 0.0008];[0.0154, 0.0];[0.5504, 0.0025];[0.5167, 0.0015];[0.5437, 0.003];[0.5038, 0.0002];[0.5005, 0.0002];[0.5018, 0.0002]
kinship_family;backward_1;complex;amie;100;0.5;1;rnm;[592.2382696628571, 28.84823773388458];[0.0121, 0.0];[0.012, 0.0];[0.0123, 0.0001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.5296, 0.0005];[0.5295, 0.0005];[0.5297, 0.0005];[0.543, 0.0013];[0.514, 0.0011];[0.536, 0.0022];[0.543, 0.0013];[0.514, 0.0011];[0.536, 0.0022]
