epoch;concept_hits@1@1;concept_hits@3@3;concept_loss;concept_mrr;loss;task_hits@1@1;task_hits@3@3;task_loss;task_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@1@1;val_task_hits@3@3;val_task_loss;val_task_mrr
0;0.3231707215309143;1.0;0.7370370030403137;0.6043360829353333;2.939343214035034;0.32926830649375916;1.0;5.14164924621582;0.6073848605155945;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;0.33943089842796326;1.0;0.7226011157035828;0.6156842708587646;2.9321250915527344;0.3109756112098694;1.0;5.14164924621582;0.6094173192977905;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;0.34654471278190613;1.0;0.7337732315063477;0.6187331080436707;2.937711238861084;0.3638211488723755;1.0;5.14164924621582;0.605182945728302;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;0.3231707215309143;1.0;0.743959903717041;0.6033198237419128;2.9428045749664307;0.3353658616542816;1.0;5.14164924621582;0.6134823560714722;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;0.34044715762138367;1.0;0.733492374420166;0.6167005896568298;2.937570810317993;0.3434959352016449;1.0;5.14164924621582;0.6226287484169006;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;0.353658527135849;1.0;0.7255316972732544;0.6244918704032898;2.9335904121398926;0.3729674816131592;1.0;5.14164924621582;0.6048442125320435;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;0.3252032399177551;1.0;0.7343692779541016;0.6070461273193359;2.938009262084961;0.3353658616542816;1.0;5.14164924621582;0.6048442125320435;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;0.31707316637039185;1.0;0.7316873669624329;0.6034892201423645;2.9366683959960938;0.33739838004112244;1.0;5.14164924621582;0.5945122241973877;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;0.33739838004112244;1.0;0.7406526803970337;0.6144986748695374;2.9411509037017822;0.35772356390953064;1.0;5.14164924621582;0.5997628569602966;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;0.3526422679424286;1.0;0.7331968545913696;0.6195799708366394;2.93742299079895;0.37093496322631836;1.0;5.14164924621582;0.6167005300521851;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;0.3221544623374939;1.0;0.737524151802063;0.6045054197311401;2.939586639404297;0.3414634168148041;1.0;5.14164924621582;0.6139904856681824;NA;NA;NA;NA;NA;NA;NA;NA;NA
